t,chair,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,stdX,stdY,stdZ,big,n,touch,tbase,up,seq,flags,rssi,is_occupied,occupied_chairs,n_occupied,block,label,target_chair,is_target,is_transition,phase_idx,t_phase_start
1785362235.177,6,5686,13644,7228,-323,-324,-64,-864,24,14,15,0,100,1996,1979,41,19676,7,-60,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.202,1,5695,14960,88,105,194,-90,-2240,12,12,11,0,100,2162,2128,142,2878,7,-56,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.273,7,1266,263,-16406,246,-158,158,-2032,12,14,14,0,100,2028,2019,19,9361,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.273,4,1638,-18,-16272,326,22,230,-1856,11,11,9,0,100,2122,2099,44,21385,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.273,3,1884,-69,-17912,-191,206,119,-928,16,15,12,0,100,2031,2013,46,22279,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.273,2,488,1380,-16972,-1249,-671,52,-2112,10,12,11,0,100,2057,2034,129,62336,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.295,6,5686,13645,7226,-323,-324,-64,-880,24,14,14,0,100,1997,1979,41,19677,7,-60,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.318,1,5698,14963,90,106,194,-89,-2256,11,12,11,0,100,2162,2128,142,2879,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.390,7,1273,261,-16413,246,-158,158,-2016,12,13,14,0,100,2027,2019,19,9362,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.390,4,1637,-19,-16278,325,22,229,-1840,11,11,9,0,100,2122,2099,44,21386,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.390,3,1885,-70,-17919,-191,205,119,-896,16,15,12,0,100,2031,2013,46,22280,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.415,2,490,1383,-16973,-1249,-671,52,-2144,10,12,10,0,100,2057,2034,129,62337,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.415,5,1823,-787,-15674,76,-12,-122,-1312,9,12,10,0,100,2326,2303,42,20517,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.415,6,5683,13645,7232,-323,-325,-63,-880,21,14,14,0,100,1996,1979,41,19678,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.440,1,5696,14961,94,107,194,-90,-2256,11,12,11,0,100,2161,2128,142,2880,7,-54,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.511,7,1275,258,-16408,246,-158,157,-2032,12,14,14,0,100,2028,2019,19,9363,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.511,4,1637,-15,-16268,324,23,230,-1856,11,11,9,0,100,2121,2099,44,21387,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.536,3,1882,-67,-17923,-190,206,118,-928,15,15,12,0,100,2031,2013,46,22281,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.536,2,489,1384,-16969,-1249,-671,53,-2112,8,13,10,0,100,2057,2034,129,62338,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.536,5,1822,-786,-15667,77,-12,-123,-1312,8,11,11,0,100,2325,2303,42,20518,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.560,6,5684,13647,7236,-323,-325,-63,-864,19,14,14,0,100,1996,1979,41,19679,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.632,7,1280,260,-16406,245,-159,157,-2000,12,13,14,0,100,2027,2019,19,9364,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.632,4,1636,-16,-16271,324,23,231,-1840,11,10,9,0,100,2121,2099,44,21388,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.657,3,1886,-69,-17922,-190,206,117,-960,15,14,12,0,100,2030,2013,46,22282,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.658,2,490,1385,-16966,-1249,-672,52,-2128,8,12,10,0,100,2056,2034,129,62339,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.658,5,1821,-786,-15667,77,-12,-123,-1312,9,11,11,0,100,2327,2303,42,20519,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.683,6,5683,13648,7233,-324,-326,-64,-880,21,15,14,0,100,1996,1979,41,19680,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.683,1,5694,14961,97,107,196,-91,-2224,11,11,11,0,100,2162,2128,142,2882,7,-53,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.758,7,1283,265,-16395,245,-160,157,-2048,12,13,14,0,100,2027,2019,19,9365,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.784,4,1638,-11,-16278,323,24,231,-1840,12,10,9,0,100,2121,2099,44,21389,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.784,3,1886,-69,-17920,-191,206,118,-928,14,13,12,0,100,2030,2013,46,22283,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.784,2,493,1386,-16960,-1250,-672,53,-2144,8,12,10,0,100,2056,2034,129,62340,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.784,5,1823,-785,-15656,78,-12,-124,-1312,9,12,11,0,100,2331,2303,42,20520,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.809,6,5687,13647,7235,-322,-327,-63,-864,22,15,15,0,100,1996,1979,41,19681,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.877,7,1283,264,-16404,244,-161,157,-2032,12,14,14,0,100,2027,2019,19,9366,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.902,4,1631,-9,-16276,324,23,232,-1824,11,10,8,0,100,2122,2099,44,21390,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.902,3,1883,-68,-17925,-192,206,119,-912,14,14,12,0,100,2030,2013,46,22284,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.902,2,495,1388,-16961,-1250,-672,54,-2128,8,12,11,0,100,2056,2034,129,62341,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.927,6,5689,13644,7241,-323,-327,-62,-880,23,15,15,0,100,1996,1979,41,19682,7,-60,0,,0,A,empty,,0,0,0,1785362235.156
1785362235.954,1,5686,14962,100,107,196,-91,-2240,11,11,11,0,100,2159,2128,142,2884,7,-53,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.023,7,1281,263,-16402,244,-160,157,-2016,13,14,14,0,100,2026,2019,19,9367,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.023,4,1627,-8,-16284,324,24,233,-1824,12,10,9,0,100,2122,2099,44,21391,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.023,3,1885,-71,-17927,-193,206,119,-944,15,13,11,0,100,2031,2013,46,22285,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.024,2,497,1388,-16956,-1250,-672,54,-2144,9,12,10,0,100,2056,2034,129,62342,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.049,6,5690,13643,7246,-324,-328,-62,-880,25,15,15,0,100,1995,1979,41,19683,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.074,1,5689,14962,107,106,196,-92,-2240,12,12,10,0,100,2162,2128,142,2885,7,-54,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.143,7,1282,265,-16401,242,-161,158,-2048,13,14,14,0,100,2028,2019,19,9368,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.143,4,1625,-8,-16287,324,23,233,-1840,11,10,9,0,100,2122,2099,44,21392,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.144,3,1882,-76,-17924,-192,206,119,-928,13,13,12,0,100,2031,2013,46,22286,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.165,5,1822,-788,-15661,77,-12,-124,-1296,9,10,10,0,100,2326,2303,42,20523,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.165,6,5689,13641,7251,-322,-328,-62,-896,28,15,14,0,100,1997,1979,41,19684,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.190,1,5691,14966,105,105,197,-91,-2256,12,12,10,0,100,2162,2128,142,2886,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.260,7,1281,259,-16404,243,-161,157,-2032,14,14,13,0,100,2028,2019,19,9369,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.284,3,1885,-74,-17926,-194,206,120,-944,14,14,11,0,100,2030,2013,46,22287,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.284,2,493,1388,-16958,-1249,-671,55,-2112,9,12,10,0,100,2057,2034,129,62344,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.284,5,1823,-789,-15661,76,-12,-125,-1328,10,10,10,0,100,2327,2303,42,20524,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.306,6,5689,13640,7248,-323,-326,-62,-896,29,15,15,0,100,1996,1979,41,19685,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.327,1,5688,14968,102,105,196,-91,-2240,12,12,10,0,100,2163,2128,142,2887,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.377,7,1276,259,-16396,243,-161,157,-2032,14,15,13,0,100,2028,2019,19,9370,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.402,4,1624,-10,-16275,324,23,234,-1824,11,10,10,0,100,2122,2099,44,21394,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.402,3,1883,-75,-17928,-193,207,120,-896,14,14,10,0,100,2030,2013,46,22288,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.402,2,493,1390,-16956,-1249,-671,55,-2112,9,12,11,0,100,2057,2034,129,62345,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.427,6,5691,13638,7246,-324,-326,-63,-880,30,15,16,0,100,1996,1979,41,19686,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.447,1,5688,14966,107,105,196,-91,-2240,12,13,10,0,100,2161,2128,142,2888,7,-53,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.523,7,1277,259,-16398,242,-160,158,-2048,14,15,14,0,100,2028,2019,19,9371,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.523,4,1627,-10,-16282,325,23,233,-1824,11,11,9,0,100,2122,2099,44,21395,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.523,3,1887,-74,-17926,-192,206,120,-928,16,13,9,0,100,2030,2013,46,22289,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.523,2,492,1391,-16960,-1249,-670,56,-2112,9,11,11,0,100,2058,2034,129,62346,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.549,6,5689,13640,7241,-323,-326,-62,-880,30,15,16,0,100,1997,1979,41,19687,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.573,1,5688,14970,106,104,195,-91,-2256,12,13,10,0,100,2162,2128,142,2889,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.641,7,1275,260,-16400,244,-160,157,-2000,15,16,14,0,100,2027,2019,19,9372,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.641,4,1626,-9,-16278,325,23,232,-1872,11,11,10,0,100,2121,2099,44,21396,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
