t,chair,fmt,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,stdX,stdY,stdZ,big,n,touch,tbase,up,seq,flags,rssi,is_occupied,occupied_chairs,n_occupied,block,label,target_chair,is_target,is_transition,phase_idx,t_phase_start
1785365049.604,2,raw,836,-540,-17048,-1258,-670,78,-1712,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.604,2,raw,744,-448,-17032,-1269,-660,43,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.604,5,sum,-800,125,17307,70,-16,-122,-1680,10,12,12,0,100,2327,2303,89,43031,7,-65,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.626,2,raw,764,-448,-17312,-1255,-694,58,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.626,2,raw,796,-480,-17128,-1261,-673,63,-1680,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.646,2,raw,828,-536,-17028,-1250,-684,47,-1680,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.669,2,raw,752,-568,-17180,-1255,-676,53,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.669,2,raw,740,-508,-17084,-1257,-656,58,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.669,2,raw,712,-456,-17172,-1255,-686,62,-1712,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.694,2,raw,756,-408,-17072,-1255,-682,67,-1712,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.695,4,sum,683,41,16799,333,33,226,-2224,10,10,9,0,100,2123,2099,91,43901,7,-66,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.695,2,raw,824,-520,-16980,-1269,-658,66,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.721,2,raw,740,-484,-17216,-1274,-668,53,-1696,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
1785365049.721,2,raw,804,-476,-17144,-1261,-681,54,-1680,,,,,,,,,,,,0,,0,A,empty,,0,0,0,1785365049.586
