phase_idx,block,label,target_chair,occupied_chairs,is_transition,t_start,t_end,duration
0,A,empty,,,0,1785365049.586,1785365094.686,45.1
1,W,walk_around,2,,0,1785365094.686,1785365129.785,35.1
2,S,sit_down,2,2,1,1785365129.786,1785365137.885,8.1
3,S,seated,2,2,0,1785365137.886,1785365162.985,25.1
4,S,stand_up,2,,1,1785365162.986,1785365171.085,8.1
5,S,empty_after,2,,0,1785365171.086,1785365186.185,15.1
6,W,walk_around,2,,0,1785365186.185,1785365221.278,35.1
7,S,sit_down,2,2,1,1785365221.279,1785365229.377,8.1
8,S,seated,2,2,0,1785365229.377,1785365254.475,25.1
9,S,stand_up,2,,1,1785365254.475,1785365262.475,8.0
10,S,empty_after,2,,0,1785365262.475,1785365277.575,15.1
11,W,walk_around,2,,0,1785365277.575,1785365312.674,35.1
12,S,sit_down,2,2,1,1785365312.674,1785365320.773,8.1
13,S,seated,2,2,0,1785365320.773,1785365345.774,25.0
14,S,stand_up,2,,1,1785365345.774,1785365353.874,8.1
15,S,empty_after,2,,0,1785365353.874,1785365368.974,15.1
16,W,walk_around,2,,0,1785365368.975,1785365404.074,35.1
17,S,sit_down,2,2,1,1785365404.074,1785365412.174,8.1
18,S,seated,2,2,0,1785365412.174,1785365437.274,25.1
19,S,stand_up,2,,1,1785365437.274,1785365445.374,8.1
20,S,empty_after,2,,0,1785365445.374,1785365460.473,15.1
21,W,walk_around,2,,0,1785365460.473,1785365495.573,35.1
22,S,sit_down,2,2,1,1785365495.574,1785365503.673,8.1
23,S,seated,2,2,0,1785365503.673,1785365528.772,25.1
24,S,stand_up,2,,1,1785365528.773,1785365536.872,8.1
25,S,empty_after,2,,0,1785365536.873,1785365551.873,15.0
26,W,walk_around,2,,0,1785365551.873,1785365586.973,35.1
27,S,sit_down,2,2,1,1785365586.973,1785365595.073,8.1
28,S,seated,2,2,0,1785365595.073,1785365620.172,25.1
29,S,stand_up,2,,1,1785365620.172,1785365628.272,8.1
30,S,empty_after,2,,0,1785365628.272,1785365643.372,15.1
31,W,walk_around,2,,0,1785365643.372,1785365678.471,35.1
32,S,sit_down,2,2,1,1785365678.471,1785365686.572,8.1
33,S,seated,2,2,0,1785365686.572,1785365711.671,25.1
34,S,stand_up,2,,1,1785365711.671,1785365719.771,8.1
35,S,empty_after,2,,0,1785365719.771,1785365734.872,15.1
36,W,walk_around,2,,0,1785365734.872,1785365769.971,35.1
37,S,sit_down,2,2,1,1785365769.971,1785365777.971,8.0
38,S,seated,2,2,0,1785365777.971,1785365802.971,25.0
39,S,stand_up,2,,1,1785365802.971,1785365811.071,8.1
40,S,empty_after,2,,0,1785365811.071,1785365826.171,15.1
41,W,walk_around,2,,0,1785365826.171,1785365861.271,35.1
42,S,sit_down,2,2,1,1785365861.271,1785365869.371,8.1
43,S,seated,2,2,0,1785365869.371,1785365894.470,25.1
44,S,stand_up,2,,1,1785365894.470,1785365902.470,8.0
45,S,empty_after,2,,0,1785365902.470,1785365917.471,15.0
46,I,empty,,,0,1785365917.471,1785365962.570,45.1
