t,chair,fmt,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,stdX,stdY,stdZ,big,n,touch,tbase,peak,yawSum,yawN,up,seq,flags,rssi,is_occupied,occupied_chairs,n_occupied,block,label,target_chair,is_target,is_transition,phase_idx,t_phase_start
1785439549.258,4,sum,1718,-525,-16370,330,27,223,-2096,13,12,11,0,100,2121,2113,66,2692,12,19,9213,7,-64,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.258,6,sum,810,-657,-16352,-322,-348,-65,-1392,12,14,13,0,100,1993,1989,46,-775,12,13,6528,7,-73,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.281,7,sum,3604,616,16118,209,-173,130,-1920,13,12,14,0,100,2022,2013,56,1611,12,11,5667,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.281,1,sum,2747,-456,-19901,104,190,-112,-2240,12,15,12,0,100,2142,2123,56,-1341,12,29,14061,7,-70,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.306,2,sum,-479,-323,-17056,-1261,-679,67,-2288,12,15,12,0,100,2057,2053,69,837,13,23,11276,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.353,5,sum,2115,72,-15580,22,-15,-103,-1552,11,12,11,0,100,2325,2315,45,-1215,12,17,8379,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.353,3,sum,1200,-626,-18019,-205,211,125,-1488,13,13,12,0,100,2282,2275,65,1454,12,21,10243,7,-67,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.378,4,sum,1717,-525,-16368,331,28,223,-2096,13,12,12,0,100,2122,2113,66,2898,13,19,9214,7,-63,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.378,6,sum,814,-657,-16346,-322,-347,-64,-1392,13,14,13,0,100,1994,1989,46,-817,13,13,6529,7,-74,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.402,7,sum,3601,610,16114,209,-173,130,-1920,14,12,14,0,100,2022,2013,56,1716,13,11,5668,7,-70,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.403,1,sum,2747,-456,-19900,104,189,-112,-2240,11,14,12,0,100,2142,2123,56,-1515,13,29,14062,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.426,2,sum,-482,-321,-17053,-1262,-678,68,-2256,12,14,12,0,100,2058,2053,57,847,12,23,11277,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.476,5,sum,2110,73,-15580,21,-14,-103,-1520,12,12,12,0,100,2325,2315,45,-1316,13,17,8380,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.476,3,sum,1200,-627,-18019,-205,211,126,-1440,13,13,12,0,100,2282,2275,65,1715,13,21,10244,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.501,4,sum,1714,-522,-16365,331,27,223,-2080,12,12,12,0,100,2122,2113,50,2697,12,19,9215,7,-64,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.501,6,sum,815,-654,-16349,-322,-348,-64,-1376,13,13,13,0,100,1995,1989,46,-696,12,13,6530,7,-73,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.526,7,sum,3603,612,16102,209,-173,130,-1920,13,12,14,0,100,2022,2013,56,1615,12,11,5669,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.526,1,sum,2744,-456,-19902,103,189,-113,-2288,11,14,12,0,100,2142,2123,55,-1435,12,29,14063,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.551,2,sum,-481,-317,-17057,-1262,-678,67,-2272,11,13,13,0,100,2058,2053,57,849,13,23,11278,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.602,5,sum,2109,72,-15579,22,-14,-103,-1536,12,12,11,0,100,2327,2315,45,-1261,12,17,8381,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.602,3,sum,1202,-629,-18022,-206,210,125,-1424,12,13,11,0,100,2283,2275,54,1474,12,21,10245,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.627,4,sum,1717,-522,-16361,330,28,224,-2128,13,13,11,0,100,2121,2113,50,2942,13,19,9216,7,-63,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.627,6,sum,817,-656,-16352,-322,-348,-63,-1376,13,13,13,0,100,1995,1989,46,-811,13,13,6531,7,-73,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.652,7,sum,3601,609,16106,209,-173,130,-1920,13,12,14,0,100,2022,2013,60,1672,13,11,5670,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.652,1,sum,2740,-454,-19910,103,189,-114,-2272,11,13,12,0,100,2144,2123,55,-1464,13,29,14064,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.677,2,sum,-484,-315,-17057,-1264,-678,66,-2240,11,13,13,0,100,2058,2053,57,746,12,23,11279,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.727,5,sum,2111,65,-15586,23,-15,-102,-1536,12,12,11,0,100,2327,2315,45,-1308,13,17,8382,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.727,3,sum,1200,-629,-18025,-207,210,124,-1520,12,14,11,0,100,2282,2275,56,1608,13,21,10246,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.753,4,sum,1718,-521,-16366,329,28,224,-2128,13,13,11,0,100,2122,2113,52,2709,12,19,9217,7,-64,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.753,6,sum,819,-651,-16349,-323,-349,-62,-1408,13,12,12,0,100,1994,1989,48,-774,12,13,6532,7,-73,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.778,7,sum,3603,609,16105,209,-173,131,-1920,13,12,14,0,100,2022,2013,60,1607,12,11,5671,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.778,1,sum,2739,-457,-19899,103,189,-114,-2288,12,13,11,0,100,2143,2123,55,-1394,12,29,14065,7,-70,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.802,2,sum,-486,-316,-17063,-1263,-677,66,-2304,12,13,13,0,100,2057,2053,57,905,13,23,11280,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.852,5,sum,2112,72,-15586,22,-15,-102,-1536,13,13,11,0,100,2326,2315,51,-1238,12,17,8383,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.852,3,sum,1203,-628,-18022,-207,209,125,-1472,13,15,11,0,100,2282,2275,56,1536,12,21,10247,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.876,4,sum,1719,-518,-16365,330,28,223,-2096,14,12,11,0,100,2122,2113,52,2840,13,19,9218,7,-63,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.877,6,sum,820,-654,-16350,-322,-349,-64,-1360,13,12,13,0,100,1995,1989,51,-906,13,13,6533,7,-74,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.902,7,sum,3601,610,16112,210,-173,131,-1952,13,13,14,0,100,2022,2013,60,1789,13,11,5672,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.902,1,sum,2736,-456,-19901,103,188,-113,-2272,11,13,12,0,100,2143,2123,55,-1307,13,29,14066,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.927,2,sum,-487,-315,-17061,-1263,-676,66,-2256,12,14,12,0,100,2058,2053,59,825,12,23,11281,7,-60,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.977,5,sum,2109,75,-15586,22,-14,-103,-1536,13,13,11,0,100,2326,2315,51,-1410,13,17,8384,7,-62,0,,0,A,empty,,0,0,0,1785439549.242
1785439549.977,3,sum,1201,-629,-18023,-205,209,125,-1472,13,16,11,0,100,2282,2275,56,1620,13,21,10248,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.002,4,sum,1719,-517,-16365,331,28,222,-2112,14,12,12,0,100,2122,2113,53,2628,12,19,9219,7,-64,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.002,6,sum,820,-658,-16344,-323,-349,-63,-1376,13,12,13,0,100,1993,1989,51,-756,12,13,6534,7,-73,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.027,7,sum,3599,610,16114,210,-174,130,-1936,12,12,14,0,100,2021,2013,60,1496,12,11,5673,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.027,1,sum,2736,-452,-19901,103,188,-113,-2304,11,13,13,0,100,2142,2123,49,-1381,12,29,14067,7,-69,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.052,2,sum,-489,-315,-17062,-1262,-676,67,-2240,12,13,13,0,100,2057,2053,59,945,13,23,11282,7,-59,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.096,5,sum,2112,76,-15583,21,-15,-103,-1504,13,13,12,0,100,2327,2315,53,-1240,12,17,8385,7,-63,0,,0,A,empty,,0,0,0,1785439549.242
1785439550.097,3,sum,1200,-627,-18022,-205,209,125,-1440,14,16,12,0,100,2282,2275,61,1478,12,21,10249,7,-68,0,,0,A,empty,,0,0,0,1785439549.242
