t,phase_idx,label,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1783469350.032,0,empty,124,-176,-17092,-1219,-629,-19,768
1783469350.042,0,empty,120,-112,-17028,-1227,-613,8,752
1783469350.052,0,empty,92,-188,-17036,-1213,-617,58,800
1783469350.062,0,empty,96,-48,-17060,-1229,-625,63,752
1783469350.072,0,empty,188,-176,-17072,-1214,-617,81,768
1783469350.082,0,empty,124,-200,-16980,-1210,-629,89,784
1783469350.092,0,empty,52,-140,-17080,-1207,-619,63,800
1783469350.102,0,empty,64,-120,-17028,-1213,-623,120,784
1783469350.112,0,empty,108,-136,-17036,-1225,-652,115,768
1783469350.122,0,empty,116,-200,-17164,-1207,-624,121,752
1783469350.132,0,empty,20,-232,-17072,-1213,-636,106,800
1783469350.142,0,empty,132,-132,-17072,-1228,-629,135,784
1783469350.152,0,empty,164,-164,-17012,-1219,-619,150,768
1783469350.162,0,empty,24,-136,-17084,-1209,-621,149,752
1783469350.172,0,empty,160,-144,-17120,-1209,-626,132,768
1783469350.182,0,empty,156,-156,-17032,-1237,-615,146,784
1783469350.192,0,empty,124,-216,-16936,-1217,-607,149,768
1783469350.202,0,empty,36,-188,-16984,-1229,-633,155,752
1783469350.212,0,empty,48,-188,-17016,-1210,-652,148,768
1783469350.222,0,empty,92,-196,-16972,-1217,-660,126,784
1783469350.232,0,empty,28,-208,-17164,-1228,-632,127,800
1783469350.242,0,empty,8,-164,-17060,-1224,-621,128,752
1783469350.252,0,empty,76,-168,-16916,-1215,-625,111,800
1783469350.262,0,empty,64,-272,-17028,-1212,-632,95,752
1783469350.272,0,empty,140,-244,-17060,-1215,-626,114,800
1783469350.282,0,empty,180,-188,-17028,-1221,-615,71,784
1783469350.292,0,empty,108,-244,-17012,-1227,-628,83,800
1783469350.302,0,empty,112,-148,-17064,-1229,-613,71,784
1783469350.312,0,empty,92,-220,-17072,-1224,-619,58,800
1783469350.322,0,empty,52,-156,-17112,-1219,-626,45,816
1783469350.333,0,empty,220,-216,-16988,-1198,-638,58,800
1783469350.343,0,empty,80,-100,-17076,-1234,-601,49,784
1783469350.353,0,empty,-40,-192,-17012,-1203,-606,32,768
1783469350.363,0,empty,144,-140,-17132,-1221,-647,33,784
1783469350.373,0,empty,20,-92,-17128,-1220,-616,38,736
1783469350.383,0,empty,36,-164,-17028,-1225,-624,17,784
1783469350.393,0,empty,80,-172,-17036,-1242,-612,10,768
1783469350.403,0,empty,144,-192,-17072,-1214,-620,9,784
1783469350.413,0,empty,108,-232,-17060,-1195,-624,20,768
1783469350.423,0,empty,24,-152,-17092,-1211,-602,27,752
1783469350.433,0,empty,124,-176,-17024,-1215,-605,19,736
1783469350.443,0,empty,184,-196,-17084,-1225,-631,6,784
1783469350.453,0,empty,120,-128,-17020,-1224,-617,27,768
1783469350.463,0,empty,180,-176,-17008,-1233,-646,26,784
1783469350.473,0,empty,132,-192,-17064,-1214,-618,3,768
1783469350.483,0,empty,104,-188,-17068,-1215,-617,25,784
1783469350.493,0,empty,104,-200,-16936,-1216,-623,37,768
1783469350.503,0,empty,152,-252,-17096,-1230,-633,49,784
1783469350.513,0,empty,136,-192,-17136,-1221,-641,69,768
1783469350.523,0,empty,76,-208,-17032,-1233,-616,78,752
1783469350.533,0,empty,132,-312,-17228,-1219,-612,53,768
1783469350.543,0,empty,40,-256,-16992,-1226,-636,67,784
1783469350.553,0,empty,96,-200,-17148,-1228,-625,89,768
1783469350.563,0,empty,56,-260,-17048,-1235,-600,93,752
1783469350.573,0,empty,24,-128,-16976,-1214,-619,82,768
1783469350.583,0,empty,152,-120,-17084,-1216,-623,75,752
1783469350.593,0,empty,152,-292,-17048,-1227,-613,93,736
1783469350.603,0,empty,72,-144,-17188,-1201,-609,71,768
1783469350.613,0,empty,124,-164,-16936,-1222,-625,99,768
1783469350.623,0,empty,112,-248,-17112,-1225,-642,82,784
1783469350.633,0,empty,180,-124,-16988,-1222,-618,90,800
1783469350.643,0,empty,144,-104,-17140,-1214,-605,83,784
1783469350.653,0,empty,76,-260,-17140,-1227,-643,79,768
1783469350.663,0,empty,116,-220,-17076,-1249,-638,83,784
1783469350.673,0,empty,108,-148,-17084,-1213,-618,75,736
1783469350.683,0,empty,68,-284,-17056,-1208,-609,64,800
1783469350.693,0,empty,172,-164,-16992,-1211,-621,71,800
1783469350.703,0,empty,208,-96,-17152,-1202,-627,60,784
1783469350.713,0,empty,124,-164,-16960,-1214,-650,47,800
1783469350.723,0,empty,168,-252,-17052,-1221,-617,62,784
