t,phase_idx,label,surface,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1783534652.735,1,empty,hard floor,568,832,-17084,-1178,-710,72,640
1783534652.746,1,empty,hard floor,608,832,-16928,-1283,-660,60,624
1783534652.757,1,empty,hard floor,644,908,-16964,-1303,-570,65,640
1783534652.767,1,empty,hard floor,516,940,-16996,-1198,-519,65,656
1783534652.778,1,empty,hard floor,588,824,-16872,-1179,-531,81,672
1783534652.789,1,empty,hard floor,564,752,-16772,-1166,-599,42,640
1783534652.800,1,empty,hard floor,512,868,-16920,-1246,-691,65,672
1783534652.810,1,empty,hard floor,484,820,-16848,-1259,-723,53,656
1783534652.821,1,empty,hard floor,592,916,-16992,-1197,-694,55,672
1783534652.832,1,empty,hard floor,520,836,-16900,-1176,-612,84,656
1783534652.841,1,empty,hard floor,520,736,-16940,-1157,-548,43,624
1783534652.850,1,empty,hard floor,492,768,-16952,-1266,-531,55,672
1783534652.860,1,empty,hard floor,580,864,-16912,-1269,-572,72,624
1783534652.869,1,empty,hard floor,444,908,-16968,-1234,-613,95,640
1783534652.879,1,empty,hard floor,624,788,-16844,-1155,-657,69,656
1783534652.888,1,empty,hard floor,604,768,-16760,-1169,-679,59,640
1783534652.897,1,empty,hard floor,560,780,-16792,-1226,-676,54,656
1783534652.907,1,empty,hard floor,608,856,-17072,-1276,-599,74,672
1783534652.916,1,empty,hard floor,504,940,-16892,-1273,-581,48,656
1783534652.925,1,empty,hard floor,572,920,-16816,-1176,-532,69,672
1783534652.935,1,empty,hard floor,492,904,-16928,-1154,-592,72,688
1783534652.945,1,empty,hard floor,516,744,-16812,-1192,-616,59,640
1783534652.955,1,empty,hard floor,512,848,-16920,-1274,-677,74,656
1783534652.965,1,empty,hard floor,568,788,-16860,-1248,-669,53,608
1783534652.975,1,empty,hard floor,580,888,-16980,-1208,-630,74,656
1783534652.985,1,empty,hard floor,544,832,-16804,-1189,-617,48,640
1783534652.995,1,empty,hard floor,408,868,-16848,-1180,-579,55,656
1783534653.005,1,empty,hard floor,504,760,-16716,-1251,-597,59,672
1783534653.015,1,empty,hard floor,476,856,-16844,-1254,-586,64,656
1783534653.025,1,empty,hard floor,576,824,-16828,-1215,-605,57,672
1783534653.035,1,empty,hard floor,472,768,-16944,-1136,-632,61,640
1783534653.045,1,empty,hard floor,628,872,-16832,-1198,-641,52,672
1783534653.055,1,empty,hard floor,500,864,-16884,-1232,-642,46,656
1783534653.065,1,empty,hard floor,560,848,-16824,-1264,-609,61,640
1783534653.075,1,empty,hard floor,528,944,-16904,-1218,-612,63,656
1783534653.085,1,empty,hard floor,624,916,-16868,-1173,-604,53,640
1783534653.095,1,empty,hard floor,544,780,-16808,-1150,-617,63,656
1783534653.105,1,empty,hard floor,552,852,-16932,-1260,-607,45,656
1783534653.115,1,empty,hard floor,556,792,-16912,-1266,-624,62,640
1783534653.124,1,empty,hard floor,476,872,-16860,-1216,-646,69,656
1783534653.134,1,empty,hard floor,600,916,-16904,-1179,-619,74,608
1783534653.144,1,empty,hard floor,544,900,-17132,-1162,-598,73,656
1783534653.155,1,empty,hard floor,584,804,-16856,-1217,-604,56,640
1783534653.165,1,empty,hard floor,508,864,-16904,-1254,-602,69,624
1783534653.175,1,empty,hard floor,580,944,-16764,-1247,-605,74,672
1783534653.185,1,empty,hard floor,448,808,-16892,-1180,-623,53,656
1783534653.195,1,empty,hard floor,576,796,-16876,-1191,-629,56,640
1783534653.205,1,empty,hard floor,528,884,-16872,-1222,-639,49,688
1783534653.215,1,empty,hard floor,456,860,-16948,-1243,-615,48,640
1783534653.225,1,empty,hard floor,588,764,-16940,-1225,-611,69,656
1783534653.235,1,empty,hard floor,548,908,-17064,-1192,-603,64,640
1783534653.245,1,empty,hard floor,572,868,-16940,-1196,-616,47,656
1783534653.255,1,empty,hard floor,568,700,-16980,-1225,-605,75,672
1783534653.265,1,empty,hard floor,488,912,-17012,-1204,-603,59,656
1783534653.275,1,empty,hard floor,380,868,-16768,-1205,-648,68,640
1783534653.286,1,empty,hard floor,588,740,-17036,-1206,-630,75,656
1783534653.296,1,empty,hard floor,556,856,-16892,-1227,-628,59,640
1783534653.306,1,empty,hard floor,540,812,-16924,-1222,-597,70,656
1783534653.316,1,empty,hard floor,532,776,-16920,-1223,-620,80,640
1783534653.326,1,empty,hard floor,520,708,-16924,-1226,-611,55,656
1783534653.336,1,empty,hard floor,440,924,-16948,-1215,-622,51,640
1783534653.346,1,empty,hard floor,568,748,-16760,-1185,-623,58,656
1783534653.356,1,empty,hard floor,472,852,-16896,-1219,-608,72,640
1783534653.366,1,empty,hard floor,564,760,-17072,-1216,-647,58,672
1783534653.376,1,empty,hard floor,508,780,-16824,-1223,-624,62,672
1783534653.385,1,empty,hard floor,504,736,-16960,-1210,-593,72,656
1783534653.395,1,empty,hard floor,452,800,-16904,-1215,-600,48,688
1783534653.405,1,empty,hard floor,564,836,-16832,-1213,-615,48,640
1783534653.415,1,empty,hard floor,516,876,-16832,-1218,-626,79,656
1783534653.425,1,empty,hard floor,576,768,-16852,-1235,-607,56,640
1783534653.435,1,empty,hard floor,512,876,-16820,-1245,-607,52,656
1783534653.445,1,empty,hard floor,540,812,-16852,-1183,-611,71,640
1783534653.455,1,empty,hard floor,504,924,-16948,-1197,-619,65,656
1783534653.465,1,empty,hard floor,500,704,-16872,-1211,-628,58,640
1783534653.475,1,empty,hard floor,528,904,-16856,-1221,-606,78,656
1783534653.485,1,empty,hard floor,608,804,-16876,-1228,-626,77,672
1783534653.495,1,empty,hard floor,540,792,-16828,-1211,-588,47,656
1783534653.505,1,empty,hard floor,536,944,-16816,-1205,-640,55,672
1783534653.514,1,empty,hard floor,528,764,-16928,-1207,-623,69,656
