# river=american model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023225 station_name=BLUE_CANYON_NYACK_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00111597 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.0500	0.001116	0.2232	0
1	0.0500	0.001116	0.2232	0
2	0.0500	0.001116	0.2232	0
3	0.0500	0.001116	0.2232	0
4	0.0500	0.001116	0.2232	0
5	0.0500	0.001116	0.2232	0
6	0.0500	0.001116	0.2232	0
7	0.0500	0.001116	0.2232	0
8	0.0500	0.001116	0.2232	0
9	0.0500	0.001116	0.2232	0
10	0.0500	0.001116	0.2232	0
11	0.0500	0.001116	0.2232	0
12	0.0500	0.001116	0.2232	0
13	0.0500	0.001116	0.2232	0
14	0.0500	0.001116	0.2232	0
15	0.0500	0.001116	0.2232	0
16	0.0500	0.001116	0.2232	0
17	0.0500	0.001116	0.2232	0
18	0.0500	0.001116	0.2232	0
19	0.0500	0.001116	0.2232	0
20	0.0500	0.001116	0.2232	0
21	0.0500	0.001116	0.2232	0
22	0.0500	0.001116	0.2232	0
23	0.0500	0.001116	0.2232	0
24	0.0500	0.001116	0.2232	0
25	0.0500	0.001116	0.2232	0
26	0.0500	0.001116	0.2232	0
27	0.0500	0.001116	0.2232	0
28	0.0500	0.001116	0.2232	0
29	0.0500	0.001116	0.2232	0
30	0.0500	0.001116	0.2232	0
31	0.0500	0.001116	0.2232	0
32	0.0500	0.001116	0.2232	0
33	0.0500	0.001116	0.2232	0
34	0.0500	0.001116	0.2232	0
35	0.0500	0.001116	0.2232	0
36	0.0500	0.001116	0.2232	0
37	0.0500	0.001116	0.2232	0
38	0.0500	0.001116	0.2232	0
39	0.0500	0.001116	0.2232	0
40	0.0500	0.001116	0.2232	0
41	0.0500	0.001116	0.2232	0
42	0.0500	0.001116	0.2232	0
43	0.0500	0.001116	0.2232	0
44	0.0500	0.001116	0.2232	0
45	0.0500	0.001116	0.2232	0
46	0.0500	0.001116	0.2232	0
47	0.0500	0.001116	0.2232	0
48	0.0500	0.001116	0.2232	0
49	0.0500	0.001116	0.2232	0
50	0.0500	0.001116	0.2232	0
51	0.0500	0.001116	0.2232	0
52	0.0500	0.001116	0.2232	0
53	0.0500	0.001116	0.2232	0
54	0.0500	0.001116	0.2232	0
55	0.0500	0.001116	0.2232	0
56	0.0504	0.001124	0.2249	0
57	0.0509	0.001137	0.2273	0
58	0.0510	0.001138	0.2277	0
59	0.0509	0.001136	0.2272	0
60	0.0508	0.001134	0.2269	0
61	0.0507	0.001132	0.2265	0
62	0.0507	0.001131	0.2262	0
63	0.0506	0.001129	0.2259	0
64	0.0505	0.001128	0.2256	0
65	0.0505	0.001127	0.2254	0
66	0.0504	0.001126	0.2252	0
67	0.0504	0.001125	0.2250	0
68	0.0504	0.001124	0.2248	0
69	0.0503	0.001123	0.2247	0
70	0.0503	0.001123	0.2245	0
71	0.0503	0.001122	0.2244	0
72	0.0502	0.001121	0.2243	0
73	0.0502	0.001121	0.2242	0
74	0.0502	0.001120	0.2241	0
75	0.0502	0.001120	0.2240	0
76	0.0502	0.001120	0.2239	0
77	0.0501	0.001119	0.2238	0
78	0.0501	0.001119	0.2238	0
79	0.0501	0.001119	0.2237	0
80	0.0501	0.001118	0.2237	0
81	0.0501	0.001118	0.2236	0
82	0.0501	0.001118	0.2236	0
83	0.0501	0.001118	0.2235	0
84	0.0501	0.001118	0.2235	0
85	0.0501	0.001117	0.2235	0
86	0.0501	0.001117	0.2235	0
87	0.0501	0.001117	0.2234	0
88	0.0500	0.001117	0.2234	0
89	0.0500	0.001117	0.2234	0
90	0.0500	0.001117	0.2234	0
91	0.0512	0.001143	0.2286	0
92	0.0598	0.001334	0.2668	0
93	0.0667	0.001489	0.2977	0
94	0.0651	0.001454	0.2908	0
95	0.0636	0.001420	0.2841	0
96	0.0624	0.001392	0.2784	0
97	0.0611	0.001365	0.2729	0
98	0.0601	0.001341	0.2682	0
99	0.0591	0.001319	0.2638	0
100	0.0582	0.001300	0.2600	0
101	0.0574	0.001282	0.2563	0
102	0.0567	0.001266	0.2532	0
103	0.0561	0.001251	0.2503	0
104	0.0555	0.001239	0.2477	0
105	0.0550	0.001226	0.2453	0
106	0.0545	0.001216	0.2432	0
107	0.0946	0.002112	0.4225	0
108	0.2154	0.004807	0.9614	0
109	0.2947	0.006578	1.3155	0
110	0.3004	0.006704	1.3409	0
111	0.2949	0.006582	1.3165	0
112	0.2716	0.006062	1.2125	0
113	0.2500	0.005581	1.1162	0
114	0.2310	0.005155	1.0310	0
