# river=cottonwood model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00024216 station_name=RED_BLUFF_MUNICIPAL_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00461369 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.0500	0.004614	0.9227	0
1	0.0500	0.004614	0.9227	0
2	0.0500	0.004614	0.9227	0
3	0.0500	0.004614	0.9227	0
4	0.0500	0.004614	0.9227	0
5	0.0500	0.004614	0.9227	0
6	0.0500	0.004614	0.9227	0
7	0.0500	0.004614	0.9227	0
8	0.0500	0.004614	0.9227	0
9	0.0500	0.004614	0.9227	0
10	0.0500	0.004614	0.9227	0
11	0.0500	0.004614	0.9227	0
12	0.0500	0.004614	0.9227	0
13	0.0500	0.004614	0.9227	0
14	0.0500	0.004614	0.9227	0
15	0.0500	0.004614	0.9227	0
16	0.0500	0.004614	0.9227	0
17	0.0500	0.004614	0.9227	0
18	0.0500	0.004614	0.9227	0
19	0.0500	0.004614	0.9227	0
20	0.0500	0.004614	0.9227	0
21	0.0500	0.004614	0.9227	0
22	0.0500	0.004614	0.9227	0
23	0.0500	0.004614	0.9227	0
24	0.0500	0.004614	0.9227	0
25	0.0500	0.004614	0.9227	0
26	0.0500	0.004614	0.9227	0
27	0.0500	0.004614	0.9227	0
28	0.0500	0.004614	0.9227	0
29	0.0500	0.004614	0.9227	0
30	0.0500	0.004614	0.9227	0
31	0.0500	0.004614	0.9227	0
32	0.0500	0.004614	0.9227	0
33	0.0500	0.004614	0.9227	0
34	0.0500	0.004614	0.9227	0
35	0.0500	0.004614	0.9227	0
36	0.0500	0.004614	0.9227	0
37	0.0500	0.004614	0.9227	0
38	0.0500	0.004614	0.9227	0
39	0.0500	0.004614	0.9227	0
40	0.0500	0.004614	0.9227	0
41	0.0500	0.004614	0.9227	0
42	0.0500	0.004614	0.9227	0
43	0.0500	0.004614	0.9227	0
44	0.0500	0.004614	0.9227	0
45	0.0500	0.004614	0.9227	0
46	0.0500	0.004614	0.9227	0
47	0.0500	0.004614	0.9227	0
48	0.0500	0.004614	0.9227	0
49	0.0500	0.004614	0.9227	0
50	0.0500	0.004614	0.9227	0
51	0.0500	0.004614	0.9227	0
52	0.0500	0.004614	0.9227	0
53	0.0500	0.004614	0.9227	0
54	0.0500	0.004614	0.9227	0
55	0.0500	0.004614	0.9227	0
56	0.0500	0.004614	0.9227	0
57	0.0500	0.004614	0.9227	0
58	0.0500	0.004614	0.9227	0
59	0.0500	0.004614	0.9227	0
60	0.0500	0.004614	0.9227	0
61	0.0500	0.004614	0.9227	0
62	0.0500	0.004614	0.9227	0
63	0.0500	0.004614	0.9227	0
64	0.0500	0.004614	0.9227	0
65	0.0500	0.004614	0.9227	0
66	0.0500	0.004614	0.9227	0
67	0.0500	0.004614	0.9227	0
68	0.0500	0.004614	0.9227	0
69	0.0500	0.004614	0.9227	0
70	0.0500	0.004614	0.9227	0
71	0.0500	0.004614	0.9227	0
72	0.0500	0.004614	0.9227	0
73	0.0500	0.004614	0.9227	0
74	0.0500	0.004614	0.9227	0
75	0.0500	0.004614	0.9227	0
76	0.0500	0.004614	0.9227	0
77	0.0500	0.004614	0.9227	0
78	0.0500	0.004614	0.9227	0
79	0.0500	0.004614	0.9227	0
80	0.0500	0.004614	0.9227	0
81	0.0500	0.004614	0.9227	0
82	0.0500	0.004614	0.9227	0
