# river=delta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023237 station_name=STOCKTON_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00223477 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.1163	0.005345	1.0691	0
1	0.5630	0.025465	5.0929	0
2	1.0040	0.045345	9.0690	0
3	1.2233	0.055795	11.1591	0
4	1.4255	0.065441	13.0882	0
5	1.2987	0.059614	11.9228	0
6	1.1736	0.053866	10.7731	0
7	1.0698	0.049095	9.8190	0
8	0.9678	0.044410	8.8820	0
9	0.8828	0.040504	8.1008	0
10	0.7997	0.036686	7.3372	0
11	0.7301	0.033488	6.6976	0
12	0.6624	0.030376	6.0752	0
13	0.6054	0.027758	5.5516	0
14	0.5502	0.025222	5.0444	0
15	0.5036	0.023078	4.6157	0
16	0.4586	0.021012	4.2024	0
17	0.4204	0.019257	3.8513	0
18	0.3838	0.017573	3.5145	0
19	0.3525	0.016136	3.2271	0
20	0.3226	0.014763	2.9526	0
21	0.2970	0.013587	2.7174	0
22	0.2727	0.012468	2.4937	0
23	0.2517	0.011505	2.3010	0
24	0.2319	0.010594	2.1188	0
25	0.2147	0.009805	1.9610	0
26	0.1986	0.009063	1.8125	0
27	0.1845	0.008417	1.6834	0
28	0.1714	0.007812	1.5624	0
29	0.1599	0.007283	1.4567	0
30	0.1491	0.006790	1.3580	0
31	0.1397	0.006357	1.2715	0
32	0.1310	0.005956	1.1911	0
33	0.1233	0.005601	1.1203	0
34	0.1161	0.005274	1.0548	0
35	0.1098	0.004984	0.9968	0
36	0.1040	0.004717	0.9434	0
37	0.0989	0.004480	0.8959	0
38	0.0941	0.004262	0.8525	0
39	0.0899	0.004068	0.8136	0
40	0.0858	0.003879	0.7759	0
41	0.0818	0.003696	0.7393	0
42	0.0750	0.003384	0.6768	0
43	0.0654	0.002952	0.5904	0
44	0.1981	0.008222	1.6443	0
45	0.4499	0.018271	3.6543	0
46	0.7432	0.030453	6.0906	0
