# river=feather scale_factor=10000.0 threshold=358.900
frame	cfs	norm	scaled	high_variation
0	6500.0	0.65	130.0	0
1	6500.0	0.65	130.0	0
2	5590.0	0.559	111.8	0
3	5590.0	0.559	111.8	0
4	2060.0	0.206	41.2	1
5	2060.0	0.206	41.2	1
6	6520.0	0.652	130.4	1
7	6520.0	0.652	130.4	1
8	6510.0	0.651	130.2	1
9	6510.0	0.651	130.2	1
10	6500.0	0.65	130.0	1
11	6500.0	0.65	130.0	1
12	6500.0	0.65	130.0	1
13	6500.0	0.65	130.0	1
14	6500.0	0.65	130.0	1
15	6500.0	0.65	130.0	1
16	6510.0	0.651	130.2	0
17	6510.0	0.651	130.2	0
18	6500.0	0.65	130.0	0
19	6500.0	0.65	130.0	0
20	6500.0	0.65	130.0	0
21	6500.0	0.65	130.0	0
22	6500.0	0.65	130.0	0
23	6500.0	0.65	130.0	0
24	6500.0	0.65	130.0	0
25	6500.0	0.65	130.0	0
26	6500.0	0.65	130.0	0
27	6500.0	0.65	130.0	0
28	6500.0	0.65	130.0	0
29	6500.0	0.65	130.0	0
30	6500.0	0.65	130.0	0
31	6500.0	0.65	130.0	0
32	6500.0	0.65	130.0	0
33	6500.0	0.65	130.0	0
34	6430.0	0.643	128.6	0
35	6430.0	0.643	128.6	0
36	6500.0	0.65	130.0	0
37	6500.0	0.65	130.0	0
38	6510.0	0.651	130.2	0
39	6510.0	0.651	130.2	0
40	6510.0	0.651	130.2	0
41	6510.0	0.651	130.2	0
42	6490.0	0.649	129.8	0
43	6490.0	0.649	129.8	0
44	6510.0	0.651	130.2	0
45	6510.0	0.651	130.2	0
46	6500.0	0.65	130.0	0
47	6500.0	0.65	130.0	0
48	6510.0	0.651	130.2	0
49	6510.0	0.651	130.2	0
50	6500.0	0.65	130.0	0
51	6500.0	0.65	130.0	0
52	6510.0	0.651	130.2	0
53	6510.0	0.651	130.2	0
54	6500.0	0.65	130.0	0
55	6500.0	0.65	130.0	0
56	6500.0	0.65	130.0	0
57	6500.0	0.65	130.0	0
58	6500.0	0.65	130.0	0
59	6500.0	0.65	130.0	0
60	6500.0	0.65	130.0	0
61	6500.0	0.65	130.0	0
62	6510.0	0.651	130.2	0
63	6510.0	0.651	130.2	0
64	6510.0	0.651	130.2	0
65	6510.0	0.651	130.2	0
66	6510.0	0.651	130.2	0
67	6510.0	0.651	130.2	0
68	6500.0	0.65	130.0	0
69	6500.0	0.65	130.0	0
70	6500.0	0.65	130.0	0
71	6500.0	0.65	130.0	0
72	6510.0	0.651	130.2	0
73	6510.0	0.651	130.2	0
74	6500.0	0.65	130.0	0
75	6500.0	0.65	130.0	0
76	6500.0	0.65	130.0	0
77	6500.0	0.65	130.0	0
78	6500.0	0.65	130.0	0
79	6500.0	0.65	130.0	0
80	6500.0	0.65	130.0	0
81	6500.0	0.65	130.0	0
82	6500.0	0.65	130.0	0
83	6500.0	0.65	130.0	0
84	6500.0	0.65	130.0	0
85	6500.0	0.65	130.0	0
86	6510.0	0.651	130.2	0
87	6510.0	0.651	130.2	0
88	6500.0	0.65	130.0	0
89	6500.0	0.65	130.0	0
90	6510.0	0.651	130.2	0
91	6510.0	0.651	130.2	0
92	6600.0	0.66	132.0	0
93	6600.0	0.66	132.0	0
94	6700.0	0.67	134.0	0
95	6700.0	0.67	134.0	0
96	5040.0	0.504	100.8	0
97	5040.0	0.504	100.8	0
98	6700.0	0.67	134.0	0
99	6700.0	0.67	134.0	0
100	6700.0	0.67	134.0	0
101	6700.0	0.67	134.0	0
102	6380.0	0.638	127.6	1
103	6380.0	0.638	127.6	1
104	6200.0	0.62	124.0	1
105	6200.0	0.62	124.0	1
106	6290.0	0.629	125.8	0
107	6290.0	0.629	125.8	0
108	6410.0	0.641	128.2	0
109	6410.0	0.641	128.2	0
110	6400.0	0.64	128.0	0
111	6400.0	0.64	128.0	0
112	6400.0	0.64	128.0	0
113	6400.0	0.64	128.0	0
114	6400.0	0.64	128.0	0
115	6400.0	0.64	128.0	0
116	6400.0	0.64	128.0	0
117	6400.0	0.64	128.0	0
118	6400.0	0.64	128.0	0
119	6400.0	0.64	128.0	0
120	6400.0	0.64	128.0	0
121	6400.0	0.64	128.0	0
122	6400.0	0.64	128.0	0
123	6400.0	0.64	128.0	0
124	6400.0	0.64	128.0	0
125	6400.0	0.64	128.0	0
126	6780.0	0.678	135.6	0
127	6780.0	0.678	135.6	0
128	7490.0	0.749	149.8	0
129	7490.0	0.749	149.8	0
130	8090.0	0.809	161.8	0
131	8090.0	0.809	161.8	0
132	8350.0	0.835	167.0	0
133	8350.0	0.835	167.0	0
134	8350.0	0.835	167.0	0
135	8350.0	0.835	167.0	0
136	8350.0	0.835	167.0	0
137	8350.0	0.835	167.0	0
138	8350.0	0.835	167.0	0
139	8350.0	0.835	167.0	0
140	8350.0	0.835	167.0	0
141	8350.0	0.835	167.0	0
142	8340.0	0.834	166.8	0
143	8340.0	0.834	166.8	0
144	8360.0	0.836	167.2	0
145	8360.0	0.836	167.2	0
146	8350.0	0.835	167.0	0
147	8350.0	0.835	167.0	0
148	8350.0	0.835	167.0	0
149	8350.0	0.835	167.0	0
150	8350.0	0.835	167.0	0
151	8350.0	0.835	167.0	0
152	8350.0	0.835	167.0	0
153	8350.0	0.835	167.0	0
154	8350.0	0.835	167.0	0
155	8350.0	0.835	167.0	0
156	8350.0	0.835	167.0	0
157	8350.0	0.835	167.0	0
158	8350.0	0.835	167.0	0
159	8350.0	0.835	167.0	0
160	8350.0	0.835	167.0	0
161	8350.0	0.835	167.0	0
162	8350.0	0.835	167.0	0
163	8350.0	0.835	167.0	0
164	8360.0	0.836	167.2	0
165	8360.0	0.836	167.2	0
166	8270.0	0.827	165.4	0
167	8270.0	0.827	165.4	0
168	8200.0	0.82	164.0	0
169	8200.0	0.82	164.0	0
