# river=mccloud model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045449 station_name=MCCLOUD,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00200319 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.0500	0.002003	0.4006	0
1	0.7394	0.029624	5.9249	0
2	1.4087	0.056439	11.2878	0
3	1.2838	0.051432	10.2864	0
4	1.1599	0.046470	9.2940	0
5	1.0576	0.042371	8.4742	0
6	0.9566	0.038327	7.6653	0
7	0.8729	0.034970	6.9941	0
8	0.7906	0.031674	6.3349	0
9	0.7220	0.028927	5.7853	0
10	0.6550	0.026240	5.2480	0
11	0.5988	0.023991	4.7981	0
12	0.5442	0.021801	4.3603	0
13	0.4982	0.019959	3.9919	0
14	0.4537	0.018175	3.6350	0
15	0.4160	0.016667	3.3334	0
16	0.3797	0.015213	3.0426	0
17	0.3489	0.013979	2.7957	0
18	0.3193	0.012794	2.5587	0
19	0.2941	0.011783	2.3566	0
20	0.2700	0.010817	2.1634	0
21	0.2493	0.009990	1.9979	0
22	0.2297	0.009203	1.8405	0
23	0.2128	0.008525	1.7050	0
24	0.1968	0.007884	1.5768	0
25	0.1829	0.007329	1.4658	0
26	0.1699	0.006807	1.3613	0
27	0.1586	0.006353	1.2705	0
28	0.1479	0.005927	1.1854	0
29	0.1387	0.005555	1.1110	0
30	0.1300	0.005208	1.0416	0
31	0.1224	0.004904	0.9807	0
32	0.1153	0.004621	0.9242	0
33	0.1091	0.004372	0.8743	0
34	0.1034	0.004141	0.8283	0
35	0.0983	0.003937	0.7875	0
36	0.0936	0.003750	0.7499	0
37	0.0894	0.003583	0.7165	0
38	0.0856	0.003430	0.6859	0
39	0.0822	0.003293	0.6586	0
40	0.0791	0.003168	0.6337	0
41	0.0763	0.003056	0.6113	0
42	0.0684	0.002740	0.5480	0
43	0.0558	0.002234	0.4468	0
44	0.8279	0.033169	6.6339	0
45	2.2580	0.090465	18.0930	0
46	3.5407	0.141854	28.3708	0
47	4.7116	0.188763	37.7527	0
48	4.9079	0.196628	39.3255	0
49	4.4364	0.177738	35.5477	0
50	4.0177	0.160966	32.1932	0
51	3.6317	0.145501	29.1001	0
52	3.2907	0.131838	26.3675	0
53	2.9746	0.119176	23.8352	0
54	2.6969	0.108046	21.6093	0
55	2.4381	0.097680	19.5360	0
56	2.2118	0.088614	17.7228	0
57	2.0000	0.080127	16.0253	0
58	1.8157	0.072742	14.5485	0
59	1.6422	0.065794	13.1587	0
60	2.4596	0.098541	19.7081	0
61	3.6219	0.145108	29.0215	0
62	3.6230	0.145151	29.0302	0
63	3.2703	0.131021	26.2041	0
64	2.9682	0.118917	23.7833	0
65	2.6794	0.107348	21.4695	0
66	2.4334	0.097490	19.4979	0
67	2.1969	0.088018	17.6035	0
68	1.9965	0.079989	15.9978	0
69	1.8030	0.072234	14.4468	0
70	1.6398	0.065696	13.1391	0
71	1.4813	0.059346	11.8693	0
72	1.3484	0.054022	10.8043	0
73	1.2186	0.048823	9.7647	0
74	1.1104	0.044487	8.8974	0
75	1.0042	0.040231	8.0462	0
76	0.9160	0.036700	7.3400	0
77	0.8291	0.033215	6.6431	0
78	0.7573	0.030340	6.0680	0
79	0.6861	0.027487	5.4974	0
80	0.6276	0.025146	5.0291	0
81	0.5695	0.022816	4.5631	0
82	0.5217	0.020903	4.1807	0
83	0.4743	0.019004	3.8009	0
84	0.4353	0.017439	3.4877	0
85	0.3953	0.015837	3.1673	0
86	0.3418	0.013695	2.7391	0
87	0.2893	0.011589	2.3177	0
88	0.2455	0.009836	1.9671	0
89	0.2051	0.008215	1.6430	0
90	0.1907	0.007639	1.5278	0
91	0.1767	0.007077	1.4155	0
92	0.1649	0.006606	1.3212	0
93	0.1535	0.006148	1.2296	0
94	0.1438	0.005762	1.1524	0
95	0.1345	0.005389	1.0778	0
96	0.1266	0.005073	1.0146	0
97	0.1190	0.004769	0.9538	0
98	0.1126	0.004510	0.9020	0
99	0.1064	0.004262	0.8525	0
100	0.1011	0.004050	0.8101	0
101	0.0910	0.003644	0.7288	0
102	0.0671	0.002687	0.5374	0
