# river=mill_creek model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045679 station_name=MINERAL,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00140961 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.0500	0.001410	0.2819	0
1	0.0500	0.001410	0.2819	0
2	0.0500	0.001410	0.2819	0
3	0.0500	0.001410	0.2819	0
4	0.0500	0.001410	0.2819	0
5	0.0500	0.001410	0.2819	0
6	0.0500	0.001410	0.2819	0
7	0.0500	0.001410	0.2819	0
8	0.0500	0.001410	0.2819	0
9	0.0500	0.001410	0.2819	0
10	0.0500	0.001410	0.2819	0
11	0.0500	0.001410	0.2819	0
12	0.0500	0.001410	0.2819	0
13	0.0500	0.001410	0.2819	0
14	0.0500	0.001410	0.2819	0
15	0.0500	0.001410	0.2819	0
16	0.0500	0.001410	0.2819	0
17	0.0500	0.001410	0.2819	0
18	0.0500	0.001410	0.2819	0
19	0.0500	0.001410	0.2819	0
20	0.0500	0.001410	0.2819	0
21	0.0500	0.001410	0.2819	0
22	0.0500	0.001410	0.2819	0
23	0.0500	0.001410	0.2819	0
24	0.0500	0.001410	0.2819	0
25	0.0500	0.001410	0.2819	0
26	0.0500	0.001410	0.2819	0
27	0.0500	0.001410	0.2819	0
28	0.0500	0.001410	0.2819	0
29	0.0500	0.001410	0.2819	0
30	0.0500	0.001410	0.2819	0
31	0.0500	0.001410	0.2819	0
32	0.0500	0.001410	0.2819	0
33	0.0500	0.001410	0.2819	0
34	0.0500	0.001410	0.2819	0
35	0.0500	0.001410	0.2819	0
36	0.0500	0.001410	0.2819	0
37	0.0500	0.001410	0.2819	0
38	0.0500	0.001410	0.2819	0
39	0.0500	0.001410	0.2819	0
40	0.0500	0.001410	0.2819	0
41	0.0500	0.001410	0.2819	0
42	0.0500	0.001410	0.2819	0
43	0.0500	0.001410	0.2819	0
44	0.0500	0.001410	0.2819	0
45	0.0500	0.001410	0.2819	0
46	0.0500	0.001410	0.2819	0
47	0.0500	0.001410	0.2819	0
48	0.0500	0.001410	0.2819	0
49	0.0500	0.001410	0.2819	0
50	0.0500	0.001410	0.2819	0
