# river=shasta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045983 station_name=MOUNT_SHASTA,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00234763 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
0	0.3260	0.015309	3.0617	0
1	1.6703	0.078423	15.6845	0
2	3.0061	0.141146	28.2292	0
3	4.0135	0.188445	37.6890	0
4	4.9488	0.232357	46.4713	0
5	4.4971	0.211153	42.2305	0
6	4.0516	0.190234	38.0468	0
7	3.6819	0.172873	34.5747	0
8	3.3188	0.155824	31.1649	0
9	3.0160	0.141611	28.3222	0
10	2.7201	0.127716	25.5432	0
11	2.4723	0.116079	23.2158	0
12	2.2311	0.104755	20.9510	0
13	2.0282	0.095227	19.0455	0
14	1.8316	0.085999	17.1998	0
15	1.6655	0.078198	15.6397	0
16	1.5053	0.070678	14.1355	0
17	1.3693	0.064291	12.8582	0
18	1.2387	0.058162	11.6324	0
19	1.1274	0.052933	10.5867	0
20	1.0210	0.047939	9.5878	0
21	0.9298	0.043658	8.7316	0
22	0.8431	0.039588	7.9176	0
23	0.7685	0.036083	7.2166	0
24	0.6979	0.032766	6.5533	0
25	0.6367	0.029897	5.9794	0
26	0.5792	0.027194	5.4389	0
27	0.5291	0.024845	4.9690	0
28	0.4822	0.022643	4.5286	0
29	0.4413	0.020719	4.1439	0
30	0.4031	0.018925	3.7850	0
31	0.3695	0.017350	3.4700	0
32	0.3384	0.015888	3.1776	0
33	0.3109	0.014599	2.9197	0
34	0.2856	0.013408	2.6815	0
35	0.2631	0.012352	2.4704	0
36	0.2424	0.011381	2.2763	0
37	0.2240	0.010517	2.1034	0
38	0.2072	0.009726	1.9453	0
39	0.1921	0.009019	1.8037	0
40	0.1773	0.008326	1.6652	0
41	0.1629	0.007648	1.5296	0
42	0.1402	0.006584	1.3169	0
43	0.1100	0.005164	1.0327	0
44	0.0835	0.003919	0.7837	0
45	0.0601	0.002821	0.5642	0
46	0.3202	0.015035	3.0069	0
47	0.7954	0.037344	7.4688	0
48	1.2747	0.059849	11.9699	0
49	1.7569	0.082489	16.4978	0
50	1.8337	0.086098	17.2196	0
51	1.6602	0.077950	15.5900	0
52	1.5069	0.070752	14.1504	0
53	1.3648	0.064081	12.8162	0
54	1.2399	0.058217	11.6434	0
55	1.1236	0.052755	10.5511	0
56	1.0219	0.047979	9.5958	0
57	0.9266	0.043508	8.7015	0
58	0.9440	0.044322	8.8644	0
59	1.0057	0.047222	9.4445	0
60	1.2182	0.057196	11.4392	0
61	1.4830	0.069632	13.9263	0
62	1.4397	0.067599	13.5197	0
63	1.3025	0.061158	12.2315	0
64	1.1850	0.055640	11.1281	0
65	1.0727	0.050367	10.0734	0
66	0.9770	0.045873	9.1746	0
67	0.8851	0.041556	8.3111	0
68	0.8071	0.037896	7.5792	0
69	0.7318	0.034361	6.8722	0
70	0.6683	0.031381	6.2761	0
71	0.6067	0.028486	5.6973	0
72	0.5550	0.026059	5.2118	0
73	0.5045	0.023690	4.7379	0
74	0.4624	0.021713	4.3426	0
75	0.4211	0.019773	3.9546	0
76	0.3868	0.018163	3.6327	0
77	0.3530	0.016575	3.3150	0
78	0.3251	0.015264	3.0529	0
79	0.2974	0.013964	2.7928	0
80	0.2747	0.012897	2.5793	0
81	0.2521	0.011835	2.3669	0
82	0.2335	0.010963	2.1926	0
83	0.2151	0.010097	2.0194	0
84	0.1999	0.009384	1.8767	0
85	0.1848	0.008678	1.7356	0
86	0.1724	0.008094	1.6187	0
87	0.1595	0.007489	1.4979	0
88	0.1422	0.006676	1.3353	0
89	0.2048	0.009617	1.9235	0
90	0.8973	0.042131	8.4263	0
91	1.4765	0.069324	13.8649	0
92	1.3439	0.063100	12.6199	0
93	1.2152	0.057058	11.4115	0
94	1.1067	0.051961	10.3922	0
95	1.0018	0.047037	9.4074	0
96	0.9129	0.042864	8.5729	0
97	0.8275	0.038852	7.7704	0
