# dataset=Water Council measured river temperatures consolidated and resampled to 720 values
# period=2025-07-01 through 2026-06-30T11:50:00; half-open 365-day installation loop
# timestamps=720 evenly spaced half-open bins at 730 model minutes per row; Pacific local calendar time
# output_units=degrees Celsius (deg C) for every temperature column
# cottonwood=excluded at user request because no continuous 2025-2026 measured temperature record was found
# method=calendar-day means from measured observations; missing daily means linearly interpolated; completed inclusive source series linearly reinterpolated onto 720 half-open installation frames
# quality_control=CDEC rows flagged N or outside -2 to 40 deg C were excluded; sub-daily dates required at least half of expected observations before daily averaging
# feather_headwater_mean=arithmetic mean of CDEC TM1 and TM2 after daily averaging and interpolation
# shasta_keswick_source=CDEC station KWK; Sacramento River at Keswick, 0.8 miles below Keswick Dam; water temperature
# shasta_keswick_native_units=DEG F; converted to deg C before output
# shasta_keswick_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=KWK
# shasta_keswick_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=KWK&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# shasta_keswick_source_observations=8757
# shasta_keswick_observed_days=366
# shasta_keswick_missing_source_days=0
# shasta_keswick_source_flags={'N': 1}
# mccloud_source=CDEC station MSS; McCloud River above Shasta Lake; water temperature
# mccloud_native_units=DEG F; converted to deg C before output
# mccloud_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=MSS
# mccloud_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=MSS&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# mccloud_source_observations=8754
# mccloud_observed_days=366
# mccloud_missing_source_days=0
# mccloud_source_flags={}
# pit_source=CDEC station PMN; Pit River near Montgomery Creek; water temperature
# pit_native_units=DEG F; converted to deg C before output
# pit_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=PMN
# pit_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=PMN&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# pit_source_observations=8676
# pit_observed_days=363
# pit_missing_source_days=3
# pit_source_flags={'N': 78}
# mill_source=USGS station 11381500; Mill Creek near Los Molinos; water temperature
# mill_native_units=deg C; no unit conversion
# mill_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11381500/
# mill_data_url=https://waterservices.usgs.gov/nwis/dv/?format=json&sites=11381500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# mill_source_observations=366
# mill_observed_days=366
# mill_missing_source_days=0
# mill_source_flags={'A': 155, 'P': 211}
# feather_tm1_source=CDEC station TM1; Thompson Meadow Site 1, East Branch North Fork Feather headwaters; water temperature
# feather_tm1_native_units=DEG F; converted to deg C before output
# feather_tm1_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM1
# feather_tm1_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM1&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm1_source_observations=8034
# feather_tm1_observed_days=349
# feather_tm1_missing_source_days=17
# feather_tm1_source_flags={}
# feather_tm2_source=CDEC station TM2; Thompson Meadow Site 2, East Branch North Fork Feather headwaters; water temperature
# feather_tm2_native_units=DEG F; converted to deg C before output
# feather_tm2_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM2
# feather_tm2_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM2&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm2_source_observations=8696
# feather_tm2_observed_days=364
# feather_tm2_missing_source_days=2
# feather_tm2_source_flags={}
# feather_release_source=CDEC station FTA; Feather River below Thermalito Afterbay; water temperature
# feather_release_native_units=DEG F; converted to deg C before output
# feather_release_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FTA
# feather_release_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=FTA&SensorNums=25&dur_code=E&Start=2025-07-01&End=2026-07-02
# feather_release_source_observations=34885
# feather_release_observed_days=366
# feather_release_missing_source_days=0
# feather_release_source_flags={}
# american_source=USGS station 11446500; American River at Fair Oaks; water temperature
# american_native_units=deg C; no unit conversion
# american_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11446500/
# american_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11446500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# american_source_observations=35074
# american_observed_days=366
# american_missing_source_days=0
# american_source_flags={'A': 14828, 'P': 20246}
# delta_freeport_source=USGS station 11447650; Sacramento River at Freeport, Right Bank Pump Stand; water temperature
# delta_freeport_native_units=deg C; no unit conversion
# delta_freeport_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11447650/
# delta_freeport_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11447650&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# delta_freeport_source_observations=35136
# delta_freeport_observed_days=366
# delta_freeport_missing_source_days=0
# delta_freeport_source_flags={'A': 15804, 'P': 19332}
# note=USGS values carrying qualifier P are provisional and subject to revision
frame,timestamp_pacific,shasta_keswick_release_temp_c,mccloud_above_shasta_lake_temp_c,pit_near_montgomery_creek_temp_c,mill_creek_temp_c,feather_headwater_tm1_temp_c,feather_headwater_tm2_temp_c,feather_headwater_mean_temp_c,feather_below_thermalito_temp_c,american_fair_oaks_temp_c,delta_freeport_temp_c
0,2025-07-01T00:00:00,10.350,16.843,18.606,22.400,15.264,13.090,14.177,19.652,16.795,22.488
1,2025-07-01T12:10:00,10.382,16.905,18.676,22.298,15.330,12.990,14.160,19.848,16.767,22.378
2,2025-07-02T00:20:00,10.413,16.969,18.743,22.200,15.391,12.891,14.141,20.026,16.737,22.264
3,2025-07-02T12:30:00,10.351,17.081,18.741,22.200,15.325,12.803,14.064,19.623,16.645,21.993
4,2025-07-03T00:40:00,10.290,17.175,18.741,22.169,15.236,12.684,13.961,19.222,16.557,21.723
5,2025-07-03T12:50:00,10.229,16.983,18.782,21.666,14.810,12.082,13.447,18.904,16.513,21.461
6,2025-07-04T01:00:00,10.179,16.782,18.825,21.154,14.378,11.489,12.933,18.556,16.485,21.198
7,2025-07-04T13:10:00,10.237,16.501,18.885,20.596,13.908,11.001,12.454,17.913,16.609,20.930
8,2025-07-05T01:20:00,10.287,16.243,18.938,20.105,13.487,10.598,12.043,17.333,16.737,20.689
9,2025-07-05T13:30:00,10.280,16.160,18.935,20.100,13.434,10.812,12.123,17.241,16.887,20.646
10,2025-07-06T01:40:00,10.271,16.128,18.926,20.168,13.477,11.074,12.276,17.184,17.026,20.605
11,2025-07-06T13:50:00,10.256,16.377,18.895,20.619,14.041,11.569,12.806,17.290,17.100,20.555
12,2025-07-07T02:00:00,10.247,16.596,18.862,21.011,14.532,11.974,13.254,17.387,17.168,20.495
13,2025-07-07T14:10:00,10.269,16.667,18.812,21.118,14.653,11.954,13.304,17.433,17.210,20.389
14,2025-07-08T02:20:00,10.296,16.688,18.778,21.156,14.709,11.850,13.280,17.550,17.271,20.295
15,2025-07-08T14:30:00,10.342,16.526,18.807,20.958,14.546,11.451,12.999,17.939,17.397,20.251
16,2025-07-09T02:40:00,10.372,16.420,18.835,20.851,14.407,11.205,12.806,18.253,17.527,20.247
17,2025-07-09T14:50:00,10.357,16.498,18.856,21.047,14.351,11.457,12.904,18.316,17.660,20.370
18,2025-07-10T03:00:00,10.347,16.621,18.876,21.331,14.389,11.773,13.082,18.360,17.800,20.536
19,2025-07-10T15:10:00,10.355,16.853,18.899,21.832,14.677,12.235,13.456,18.372,17.954,20.811
20,2025-07-11T03:20:00,10.371,17.085,18.956,22.353,15.009,12.712,13.861,18.272,17.862,21.076
21,2025-07-11T15:30:00,10.404,17.308,19.093,22.911,15.427,13.220,14.323,17.917,17.189,21.313
22,2025-07-12T03:40:00,10.448,17.532,19.174,23.354,15.849,13.680,14.765,17.615,16.593,21.444
23,2025-07-12T15:50:00,10.509,17.756,19.134,23.564,16.279,14.039,15.159,17.439,16.184,21.358
24,2025-07-13T04:00:00,10.558,17.919,19.080,23.749,16.667,14.339,15.504,17.402,15.924,21.254
25,2025-07-13T16:10:00,10.585,17.975,19.002,23.902,16.983,14.540,15.761,17.612,15.921,21.131
26,2025-07-14T04:20:00,10.604,17.984,18.923,23.863,17.043,14.319,15.681,17.707,15.951,21.013
27,2025-07-14T16:30:00,10.612,17.923,18.843,23.518,16.702,13.435,15.069,17.603,16.018,20.904
28,2025-07-15T04:40:00,10.619,17.831,18.781,23.205,16.391,12.849,14.620,17.611,16.130,20.789
29,2025-07-15T16:50:00,10.627,17.697,18.745,22.949,16.141,12.720,14.430,17.788,16.299,20.664
30,2025-07-16T05:00:00,10.644,17.536,18.705,22.718,15.944,12.565,14.254,18.036,16.366,20.562
31,2025-07-16T17:10:00,10.674,17.340,18.657,22.514,15.812,12.360,14.085,18.365,16.303,20.492
32,2025-07-17T05:20:00,10.710,17.182,18.714,22.358,15.695,12.126,13.911,18.562,16.317,20.457
33,2025-07-17T17:30:00,10.757,17.069,18.890,22.255,15.594,11.863,13.728,18.605,16.425,20.460
34,2025-07-18T05:40:00,10.787,17.023,18.991,22.202,15.503,11.769,13.636,18.550,16.516,20.523
35,2025-07-18T17:50:00,10.798,17.044,19.015,22.200,15.424,11.844,13.634,18.401,16.587,20.643
36,2025-07-19T06:00:00,10.812,17.097,19.080,22.227,15.330,11.818,13.574,18.188,16.652,20.735
37,2025-07-19T18:10:00,10.831,17.178,19.185,22.275,15.223,11.694,13.458,17.921,16.713,20.803
38,2025-07-20T06:20:00,10.848,17.235,19.293,22.051,15.001,11.763,13.382,17.611,16.755,20.784
39,2025-07-20T18:30:00,10.863,17.271,19.404,21.607,14.686,11.990,13.338,17.270,16.780,20.700
40,2025-07-21T06:40:00,10.888,17.189,19.493,21.236,14.450,12.015,13.233,17.190,16.755,20.601
41,2025-07-21T18:50:00,10.917,17.024,19.568,20.929,14.272,11.891,13.081,17.299,16.696,20.493
42,2025-07-22T07:00:00,10.935,16.731,19.652,20.807,14.311,11.759,13.034,17.506,16.715,20.355
43,2025-07-22T19:10:00,10.944,16.359,19.742,20.800,14.486,11.628,13.057,17.768,16.783,20.199
44,2025-07-23T07:20:00,10.953,16.331,19.737,20.832,14.584,11.926,13.255,17.798,16.896,20.089
45,2025-07-23T19:30:00,10.963,16.501,19.676,20.881,14.635,12.470,13.552,17.693,17.033,20.006
46,2025-07-24T07:40:00,11.012,16.789,19.678,20.965,14.437,12.534,13.485,17.755,17.111,20.038
47,2025-07-24T19:50:00,11.079,17.133,19.713,21.065,14.114,12.347,13.230,17.907,17.158,20.127
48,2025-07-25T08:00:00,11.126,17.308,19.749,21.064,13.969,12.156,13.063,17.916,16.860,20.212
49,2025-07-25T20:10:00,11.164,17.406,19.785,21.016,13.909,11.971,12.940,17.857,16.406,20.294
