# river=american scale_factor=11700.0 threshold=643.636
frame	cfs	norm	scaled	high_variation
0	2900.0	0.2479	49.57	0
1	4450.0	0.3803	76.07	1
2	4200.0	0.359	71.79	0
3	5690.0	0.4863	97.26	1
4	5570.0	0.4761	95.21	1
5	5340.0	0.4564	91.28	0
6	5290.0	0.4521	90.43	0
7	5550.0	0.4744	94.87	0
8	5520.0	0.4718	94.36	0
9	5360.0	0.4581	91.62	0
10	5360.0	0.4581	91.62	0
11	5430.0	0.4641	92.82	0
12	5360.0	0.4581	91.62	0
13	5480.0	0.4684	93.68	0
14	5450.0	0.4658	93.16	0
15	5360.0	0.4581	91.62	0
16	5340.0	0.4564	91.28	0
17	5430.0	0.4641	92.82	0
18	5500.0	0.4701	94.02	0
19	5090.0	0.435	87.01	0
20	5020.0	0.4291	85.81	0
21	5200.0	0.4444	88.89	0
22	5020.0	0.4291	85.81	0
23	5410.0	0.4624	92.48	0
24	5150.0	0.4402	88.03	0
25	4930.0	0.4214	84.27	0
26	5020.0	0.4291	85.81	0
27	4750.0	0.406	81.2	0
28	4750.0	0.406	81.2	0
29	5040.0	0.4308	86.15	0
30	5000.0	0.4274	85.47	0
31	4730.0	0.4043	80.85	0
32	4880.0	0.4171	83.42	0
33	4750.0	0.406	81.2	0
34	4770.0	0.4077	81.54	0
35	4860.0	0.4154	83.08	0
36	4820.0	0.412	82.39	0
37	4680.0	0.4	80.0	0
38	4710.0	0.4026	80.51	0
39	4770.0	0.4077	81.54	0
40	4710.0	0.4026	80.51	0
41	4790.0	0.4094	81.88	0
42	4730.0	0.4043	80.85	0
43	4840.0	0.4137	82.74	0
44	4860.0	0.4154	83.08	0
45	4730.0	0.4043	80.85	0
46	4770.0	0.4077	81.54	0
47	4860.0	0.4154	83.08	0
48	4710.0	0.4026	80.51	0
49	5060.0	0.4325	86.5	0
50	5090.0	0.435	87.01	0
51	4710.0	0.4026	80.51	0
52	4750.0	0.406	81.2	0
53	4880.0	0.4171	83.42	0
54	4710.0	0.4026	80.51	0
55	4910.0	0.4197	83.93	0
56	4730.0	0.4043	80.85	0
57	5090.0	0.435	87.01	0
58	5060.0	0.4325	86.5	0
59	4430.0	0.3786	75.73	0
60	4550.0	0.3889	77.78	0
61	4100.0	0.3504	70.09	0
62	4260.0	0.3641	72.82	0
63	4120.0	0.3521	70.43	0
64	4120.0	0.3521	70.43	0
65	4370.0	0.3735	74.7	0
66	4220.0	0.3607	72.14	0
67	4020.0	0.3436	68.72	0
68	4640.0	0.3966	79.32	0
69	3930.0	0.3359	67.18	0
70	3910.0	0.3342	66.84	0
71	4470.0	0.3821	76.41	0
