# river=cottonwood scale_factor=5000.0 threshold=1680.197
frame	cfs	norm	scaled	high_variation
0	111.9	0.0037	0.75	0
1	113.6	0.0038	0.76	0
2	111.7	0.0037	0.74	0
3	112.9	0.0038	0.75	0
4	116.0	0.0039	0.77	0
5	111.3	0.0037	0.74	0
6	114.6	0.0038	0.76	0
7	114.0	0.0038	0.76	0
8	108.9	0.0036	0.73	0
9	108.5	0.0036	0.72	0
10	114.7	0.0038	0.76	0
11	110.7	0.0037	0.74	0
12	112.7	0.0038	0.75	0
13	106.7	0.0036	0.71	0
14	105.9	0.0035	0.71	0
15	101.0	0.0034	0.67	0
16	100.6	0.0034	0.67	0
17	97.3	0.0032	0.65	0
18	102.6	0.0034	0.68	0
19	99.4	0.0033	0.66	0
20	101.4	0.0034	0.68	0
21	93.6	0.0031	0.62	0
22	96.6	0.0032	0.64	0
23	90.0	0.003	0.6	0
24	88.3	0.0029	0.59	0
25	82.7	0.0028	0.55	0
26	95.7	0.0032	0.64	0
27	84.1	0.0028	0.56	0
28	78.1	0.0026	0.52	0
29	75.6	0.0025	0.5	0
30	81.5	0.0027	0.54	0
31	78.8	0.0026	0.53	0
32	80.9	0.0027	0.54	0
33	81.8	0.0027	0.55	0
34	84.7	0.0028	0.56	0
35	81.3	0.0027	0.54	0
36	80.6	0.0027	0.54	0
37	79.2	0.0026	0.53	0
38	77.6	0.0026	0.52	0
39	74.6	0.0025	0.5	0
40	74.3	0.0025	0.5	0
41	77.1	0.0026	0.51	0
42	78.2	0.0026	0.52	0
43	81.1	0.0027	0.54	0
44	77.4	0.0026	0.52	0
45	73.1	0.0024	0.49	0
46	77.9	0.0026	0.52	0
47	79.1	0.0026	0.53	0
48	83.7	0.0028	0.56	0
49	84.1	0.0028	0.56	0
50	85.0	0.0028	0.57	0
51	90.5	0.003	0.6	0
52	85.1	0.0028	0.57	0
53	83.5	0.0028	0.56	0
54	79.4	0.0026	0.53	0
55	78.9	0.0026	0.53	0
56	77.3	0.0026	0.52	0
57	79.2	0.0026	0.53	0
58	80.5	0.0027	0.54	0
59	81.7	0.0027	0.54	0
60	78.6	0.0026	0.52	0
61	79.8	0.0027	0.53	0
62	78.3	0.0026	0.52	0
63	79.4	0.0026	0.53	0
64	78.1	0.0026	0.52	0
65	78.6	0.0026	0.52	0
66	78.3	0.0026	0.52	0
67	79.5	0.0026	0.53	0
68	82.7	0.0028	0.55	0
69	80.6	0.0027	0.54	0
70	79.9	0.0027	0.53	0
71	83.2	0.0028	0.55	0
72	78.2	0.0026	0.52	0
73	81.4	0.0027	0.54	0
74	79.1	0.0026	0.53	0
75	77.5	0.0026	0.52	0
76	71.1	0.0024	0.47	0
77	76.1	0.0025	0.51	0
78	72.5	0.0024	0.48	0
79	77.5	0.0026	0.52	0
80	87.0	0.0029	0.58	0
81	74.5	0.0025	0.5	0
82	66.4	0.0022	0.44	0
83	66.5	0.0022	0.44	0
84	67.2	0.0022	0.45	0
85	65.6	0.0022	0.44	0
86	66.8	0.0022	0.45	0
87	71.0	0.0024	0.47	0
88	59.2	0.002	0.39	0
89	57.7	0.0019	0.38	0
90	56.0	0.0019	0.37	0
91	61.9	0.0021	0.41	0
92	66.8	0.0022	0.45	0
93	64.3	0.0021	0.43	0
94	62.6	0.0021	0.42	0
95	64.3	0.0021	0.43	0
96	68.6	0.0023	0.46	0
97	66.7	0.0022	0.44	0
98	71.5	0.0024	0.48	0
99	72.1	0.0024	0.48	0
100	70.6	0.0024	0.47	0
101	65.7	0.0022	0.44	0
102	67.1	0.0022	0.45	0
103	58.6	0.002	0.39	0
104	55.8	0.0019	0.37	0
105	56.7	0.0019	0.38	0
106	53.5	0.0018	0.36	0
107	54.8	0.0018	0.37	0
108	64.5	0.0021	0.43	0
109	62.7	0.0021	0.42	0
110	53.4	0.0018	0.36	0
111	57.5	0.0019	0.38	0
112	62.5	0.0021	0.42	0
113	63.0	0.0021	0.42	0
114	60.7	0.002	0.4	0
115	60.9	0.002	0.41	0
116	63.2	0.0021	0.42	0
117	58.0	0.0019	0.39	0
118	59.0	0.002	0.39	0
119	60.3	0.002	0.4	0
120	60.3	0.002	0.4	0
121	59.5	0.002	0.4	0
122	60.3	0.002	0.4	0
123	57.5	0.0019	0.38	0
124	56.0	0.0019	0.37	0
125	56.1	0.0019	0.37	0
126	61.6	0.0021	0.41	0
127	59.0	0.002	0.39	0
128	61.7	0.0021	0.41	0
129	55.2	0.0018	0.37	0
130	57.0	0.0019	0.38	0
131	59.3	0.002	0.4	0
132	64.9	0.0022	0.43	0
133	65.6	0.0022	0.44	0
134	63.2	0.0021	0.42	0
135	64.9	0.0022	0.43	0
136	69.6	0.0023	0.46	0
137	71.9	0.0024	0.48	0
138	78.2	0.0026	0.52	0
139	82.9	0.0028	0.55	0
140	81.8	0.0027	0.55	0
141	80.0	0.0027	0.53	0
142	88.1	0.0029	0.59	0
143	97.0	0.0032	0.65	0
144	88.4	0.0029	0.59	0
145	87.4	0.0029	0.58	0
146	84.0	0.0028	0.56	0
147	82.5	0.0028	0.55	0
148	75.2	0.0025	0.5	0
149	73.7	0.0025	0.49	0
150	67.7	0.0023	0.45	0
151	70.7	0.0024	0.47	0
152	66.3	0.0022	0.44	0
153	74.3	0.0025	0.5	0
154	73.1	0.0024	0.49	0
155	75.0	0.0025	0.5	0
156	66.6	0.0022	0.44	0
157	69.6	0.0023	0.46	0
158	71.2	0.0024	0.47	0
159	79.7	0.0027	0.53	0
160	78.9	0.0026	0.53	0
161	80.2	0.0027	0.53	0
162	80.6	0.0027	0.54	0
163	82.1	0.0027	0.55	0
164	74.3	0.0025	0.5	0
165	73.7	0.0025	0.49	0
166	73.0	0.0024	0.49	0
167	73.7	0.0025	0.49	0
168	72.3	0.0024	0.48	0
169	67.2	0.0022	0.45	0
170	66.4	0.0022	0.44	0
171	61.1	0.002	0.41	0
172	63.0	0.0021	0.42	0
173	57.5	0.0019	0.38	0
174	56.7	0.0019	0.38	0
175	55.8	0.0019	0.37	0
176	53.6	0.0018	0.36	0
177	57.6	0.0019	0.38	0
178	62.6	0.0021	0.42	0
179	71.7	0.0024	0.48	0
180	77.2	0.0026	0.51	0
181	92.1	0.0031	0.61	0
182	118.3	0.0039	0.79	0
183	125.1	0.0042	0.83	0
184	133.8	0.0045	0.89	0
185	124.7	0.0042	0.83	0
186	116.5	0.0039	0.78	0
187	99.5	0.0033	0.66	0
188	94.0	0.0031	0.63	0
189	87.9	0.0029	0.59	0
190	84.9	0.0028	0.57	0
191	80.8	0.0027	0.54	0
192	80.5	0.0027	0.54	0
193	79.6	0.0027	0.53	0
194	80.6	0.0027	0.54	0
195	89.1	0.003	0.59	0
196	93.8	0.0031	0.63	0
197	90.3	0.003	0.6	0
198	93.4	0.0031	0.62	0
199	81.5	0.0027	0.54	0
200	84.5	0.0028	0.56	0
201	86.3	0.0029	0.58	0
202	88.0	0.0029	0.59	0
203	92.5	0.0031	0.62	0
204	94.1	0.0031	0.63	0
205	88.6	0.003	0.59	0
206	91.6	0.0031	0.61	0
207	99.0	0.0033	0.66	0
208	109.9	0.0037	0.73	0
209	141.0	0.0047	0.94	0
210	153.3	0.0051	1.02	0
211	142.1	0.0047	0.95	0
212	129.6	0.0043	0.86	0
213	120.8	0.004	0.81	0
214	113.5	0.0038	0.76	0
215	108.4	0.0036	0.72	0
216	103.4	0.0034	0.69	0
217	99.3	0.0033	0.66	0
218	96.5	0.0032	0.64	0
219	93.9	0.0031	0.63	0
220	90.8	0.003	0.61	0
221	90.0	0.003	0.6	0
222	87.6	0.0029	0.58	0
223	86.4	0.0029	0.58	0
224	84.7	0.0028	0.56	0
225	85.3	0.0028	0.57	0
226	84.2	0.0028	0.56	0
227	84.7	0.0028	0.56	0
228	87.5	0.0029	0.58	0
229	95.1	0.0032	0.63	0
230	95.4	0.0032	0.64	0
231	110.7	0.0037	0.74	0
232	123.9	0.0041	0.83	0
233	142.6	0.0048	0.95	0
234	157.8	0.0053	1.05	0
235	156.8	0.0052	1.05	0
236	141.0	0.0047	0.94	0
237	128.8	0.0043	0.86	0
238	119.4	0.004	0.8	0
239	113.4	0.0038	0.76	0
240	108.5	0.0036	0.72	0
241	106.6	0.0036	0.71	0
242	103.2	0.0034	0.69	0
243	108.3	0.0036	0.72	0
244	103.7	0.0035	0.69	0
245	102.9	0.0034	0.69	0
246	98.3	0.0033	0.66	0
247	97.7	0.0033	0.65	0
248	101.6	0.0034	0.68	0
249	117.0	0.0039	0.78	0
250	149.2	0.005	0.99	0
251	273.4	0.0091	1.82	0
252	506.0	0.0169	3.37	0
253	483.0	0.0161	3.22	0
254	393.8	0.0131	2.63	0
255	353.5	0.0118	2.36	0
256	321.8	0.0107	2.15	0
257	290.3	0.0097	1.94	0
258	259.7	0.0087	1.73	0
259	235.8	0.0079	1.57	0
260	216.2	0.0072	1.44	0
261	200.6	0.0067	1.34	0
262	188.2	0.0063	1.25	0
263	178.9	0.006	1.19	0
264	169.6	0.0057	1.13	0
265	166.8	0.0056	1.11	0
266	234.6	0.0078	1.56	0
267	523.3	0.0174	3.49	0
268	833.3	0.0278	5.56	0
269	653.0	0.0218	4.35	0
270	522.1	0.0174	3.48	0
271	445.3	0.0148	2.97	0
272	400.7	0.0134	2.67	0
273	550.9	0.0184	3.67	0
274	2201.2	0.0734	14.67	0
275	1641.0	0.0547	10.94	0
276	1241.8	0.0414	8.28	0
277	970.1	0.0323	6.47	0
278	810.0	0.027	5.4	0
279	730.3	0.0243	4.87	0
280	728.8	0.0243	4.86	0
281	678.3	0.0226	4.52	0
282	614.0	0.0205	4.09	0
283	559.9	0.0187	3.73	0
284	518.8	0.0173	3.46	0
285	482.4	0.0161	3.22	0
286	454.9	0.0152	3.03	0
287	428.1	0.0143	2.85	0
288	406.9	0.0136	2.71	0
289	385.3	0.0128	2.57	0
290	368.3	0.0123	2.46	0
291	352.2	0.0117	2.35	0
292	338.2	0.0113	2.25	0
293	324.8	0.0108	2.17	0
294	313.6	0.0105	2.09	0
295	304.1	0.0101	2.03	0
296	295.0	0.0098	1.97	0
297	288.0	0.0096	1.92	0
298	280.2	0.0093	1.87	0
299	273.4	0.0091	1.82	0
