# river=delta scale_factor=18.26 threshold=2.425
frame	cfs	norm	scaled	high_variation
0	16.5	0.9031	180.61	0
1	11.8	0.6435	128.7	0
2	11.8	0.6473	129.46	0
3	15.0	0.8193	163.86	0
4	13.5	0.7415	148.3	0
5	16.5	0.9053	181.05	0
6	11.7	0.6402	128.04	1
7	14.6	0.7996	159.91	1
8	13.6	0.747	149.4	0
9	15.5	0.8499	169.99	0
10	16.4	0.8987	179.74	0
11	12.5	0.6835	136.69	0
12	11.6	0.6353	127.05	0
13	14.8	0.8094	161.88	0
14	13.5	0.7415	148.3	0
15	16.0	0.8773	175.47	0
16	16.0	0.8762	175.25	0
17	11.4	0.626	125.19	0
18	11.7	0.6429	128.59	0
19	14.8	0.8133	162.65	0
20	13.7	0.7475	149.51	0
21	15.8	0.8642	172.84	0
22	14.5	0.7941	158.82	0
23	11.5	0.6303	126.07	0
24	15.0	0.8226	164.51	0
25	13.7	0.7519	150.38	0
26	15.6	0.8549	170.97	0
27	13.3	0.7306	146.11	0
28	11.9	0.6506	130.12	0
29	15.2	0.8319	166.37	0
30	15.3	0.8384	167.69	0
31	13.5	0.7388	147.75	0
32	15.3	0.8373	167.47	0
33	12.0	0.6555	131.11	0
34	11.9	0.6544	130.89	0
35	15.9	0.8702	174.04	0
36	13.5	0.7388	147.75	0
37	15.3	0.839	167.8	0
38	15.3	0.8384	167.69	0
39	12.2	0.6709	134.17	0
40	15.6	0.856	171.19	0
41	13.2	0.7245	144.91	0
42	12.7	0.6933	138.66	0
43	14.9	0.816	163.2	0
44	12.3	0.6747	134.94	0
45	15.5	0.8488	169.77	0
46	15.8	0.8642	172.84	0
47	12.8	0.6982	139.65	0
48	15.3	0.8363	167.25	0
49	13.4	0.7327	146.55	0
50	13.1	0.7191	143.81	0
51	16.1	0.8839	176.78	0
52	15.2	0.8308	166.16	0
53	12.6	0.69	138.01	0
54	15.4	0.845	169.0	0
55	13.5	0.741	148.19	0
56	16.4	0.9009	180.18	0
57	13.8	0.7585	151.7	0
58	12.6	0.6922	138.44	0
59	15.1	0.828	165.61	0
60	13.3	0.7295	145.89	0
61	15.9	0.8729	174.59	0
62	16.1	0.8834	176.67	0
63	12.2	0.6659	133.19	0
64	12.2	0.667	133.41	0
65	15.1	0.8253	165.06	0
66	13.5	0.7415	148.3	0
67	16.2	0.8883	177.66	0
68	15.1	0.8253	165.06	0
69	12.2	0.6659	133.19	0
70	15.2	0.8302	166.05	0
71	13.9	0.764	152.79	0
72	16.4	0.9009	180.18	0
73	13.6	0.7426	148.52	0
74	12.2	0.6654	133.08	0
75	15.1	0.8275	165.5	0
76	14.1	0.77	154.0	0
77	16.2	0.8883	177.66	0
78	16.4	0.8965	179.3	0
79	12.0	0.6583	131.65	0
80	12.0	0.6561	131.22	0
81	15.0	0.8209	164.18	0
82	14.1	0.7716	154.33	0
83	16.2	0.8899	177.98	0
84	15.2	0.833	166.59	0
85	11.9	0.6544	130.89	0
86	13.9	0.759	151.81	0
87	15.0	0.8226	164.51	0
88	16.1	0.8806	176.12	0
89	13.3	0.7289	145.78	0
90	11.8	0.6446	128.92	0
91	14.6	0.8001	160.02	0
92	14.0	0.7645	152.9	0
93	15.5	0.8472	169.44	0
94	15.7	0.8571	171.41	0
95	11.6	0.6325	126.51	0
96	11.4	0.6254	125.08	0
97	14.6	0.7985	159.69	0
98	13.9	0.764	152.79	0
99	15.4	0.8417	168.35	0
100	14.8	0.8122	162.43	0
101	11.3	0.6188	123.77	0
102	12.8	0.7026	140.53	0
103	14.6	0.7979	159.58	0
104	15.0	0.8204	164.07	0
105	13.2	0.7223	144.47	0
106	11.3	0.6172	123.44	0
107	14.3	0.7826	156.52	0
108	14.8	0.8089	161.77	0
109	13.6	0.7453	149.07	0
110	14.8	0.8078	161.56	0
111	11.8	0.6473	129.46	0
112	11.5	0.6276	125.52	0
113	15.1	0.8248	164.95	0
114	14.8	0.8122	162.43	0
115	13.1	0.7191	143.81	0
116	14.5	0.7935	158.71	0
117	11.6	0.6347	126.94	0
118	12.7	0.6944	138.88	0
119	15.2	0.8319	166.37	0
120	12.5	0.6835	136.69	0
121	14.4	0.7892	157.83	0
122	11.9	0.6522	130.45	0
123	14.8	0.8133	162.65	0
124	15.5	0.8488	169.77	0
125	12.2	0.6687	133.73	0
126	12.2	0.6659	133.19	0
127	14.6	0.7968	159.36	0
128	12.3	0.6747	134.94	0
129	15.7	0.8593	171.85	0
130	15.4	0.8456	169.11	0
131	11.8	0.6457	129.13	0
132	14.5	0.7941	158.82	0
133	12.7	0.6955	139.1	0
134	13.2	0.7218	144.36	0
135	16.2	0.885	177.0	0
136	11.9	0.6506	130.12	0
137	14.6	0.8001	160.02	1
138	13.2	0.7229	144.58	0
139	15.5	0.851	170.21	0
140	16.5	0.9042	180.83	0
141	12.6	0.69	138.01	0
142	11.8	0.6451	129.03	0
143	14.8	0.8094	161.88	0
144	13.3	0.7284	145.67	0
145	16.4	0.8981	179.63	0
146	16.3	0.8938	178.75	0
147	11.5	0.6309	126.18	0
148	11.9	0.6539	130.78	0
149	14.8	0.8083	161.66	0
150	13.5	0.7399	147.97	0
151	16.6	0.9074	181.49	0
152	14.5	0.7963	159.26	0
153	11.6	0.6336	126.73	0
154	13.5	0.7371	147.43	0
155	14.8	0.8116	162.32	0
156	16.4	0.8987	179.74	0
157	13.0	0.7108	142.17	0
158	11.4	0.6271	125.41	0
159	14.7	0.8028	160.57	0
160	13.3	0.7278	145.56	0
161	15.9	0.8724	174.48	0
162	16.1	0.8795	175.9	0
163	11.3	0.6205	124.1	0
164	11.3	0.6177	123.55	0
165	14.6	0.799	159.8	0
166	13.2	0.7207	144.14	0
167	15.7	0.8593	171.85	0
168	14.8	0.81	161.99	0
169	11.2	0.6128	122.56	0
170	14.6	0.8018	160.35	0
171	13.1	0.7163	143.26	0
172	15.3	0.8384	167.69	0
173	12.9	0.7059	141.18	0
174	11.2	0.6134	122.67	0
175	14.5	0.7946	158.93	0
176	14.7	0.8072	161.45	0
177	12.9	0.7092	141.84	0
178	14.8	0.81	161.99	0
179	11.3	0.6199	123.99	0
180	11.2	0.6112	122.23	0
181	14.9	0.8138	162.76	0
182	12.6	0.6917	138.34	0
183	14.4	0.787	157.39	0
184	14.4	0.7864	157.28	0
185	11.4	0.6249	124.97	0
186	15.0	0.822	164.4	0
187	12.8	0.7032	140.64	0
188	12.2	0.6687	133.73	0
189	14.1	0.7738	154.76	0
190	11.9	0.6533	130.67	0
191	14.9	0.8154	163.09	0
192	15.3	0.8384	167.69	0
193	12.1	0.6599	131.98	0
194	12.1	0.6632	132.64	0
195	14.2	0.7788	155.75	0
196	12.6	0.6884	137.68	0
197	15.6	0.8521	170.43	0
198	15.1	0.8248	164.95	0
199	11.8	0.649	129.79	0
200	14.2	0.7777	155.53	0
201	12.8	0.7004	140.09	0
202	15.6	0.8521	170.43	0
203	13.3	0.7278	145.56	0
204	11.5	0.6314	126.29	0
205	14.1	0.7738	154.76	0
206	13.1	0.7158	143.15	0
207	15.2	0.8302	166.05	0
208	15.6	0.8554	171.08	0
209	11.8	0.644	128.81	0
210	11.5	0.6276	125.52	0
211	14.4	0.7881	157.61	0
212	13.5	0.741	148.19	0
213	16.0	0.8762	175.25	0
214	15.5	0.8488	169.77	0
215	11.7	0.638	127.6	0
216	13.1	0.7163	143.26	0
217	14.6	0.7996	159.91	0
218	16.1	0.8795	175.9	0
219	13.7	0.7519	150.38	0
220	11.6	0.6364	127.27	0
221	14.4	0.7881	157.61	0
222	13.8	0.7563	151.26	0
223	15.6	0.8538	170.76	0
224	16.3	0.8905	178.09	0
225	12.4	0.6769	135.38	0
226	11.8	0.6484	129.68	0
227	14.8	0.8133	162.65	0
228	13.9	0.7596	151.92	0
229	16.2	0.8872	177.44	0
230	15.8	0.8636	172.73	0
231	11.8	0.644	128.81	0
232	13.0	0.7103	142.06	0
233	15.1	0.8253	165.06	0
234	14.5	0.7919	158.38	0
235	16.6	0.9091	181.82	0
236	12.4	0.6774	135.49	0
237	15.0	0.8231	164.62	0
238	14.3	0.7853	157.06	0
239	15.7	0.8604	172.07	0
240	16.5	0.9042	180.83	0
241	12.8	0.7021	140.42	0
242	12.3	0.672	134.39	0
243	15.5	0.8478	169.55	0
244	14.4	0.7892	157.83	0
245	16.6	0.9102	182.04	0
246	16.5	0.9036	180.72	0
247	12.7	0.6977	139.54	0
248	13.9	0.7634	152.68	0
249	16.6	0.9096	181.93	0
250	15.1	0.8253	165.06	0
251	16.6	0.9113	182.26	0
252	13.2	0.7212	144.25	0
253	16.3	0.8927	178.53	0
254	16.7	0.9129	182.58	0
255	15.0	0.8231	164.62	0
256	16.4	0.9003	180.07	0
257	13.9	0.7601	152.03	0
258	13.4	0.736	147.21	0
259	16.5	0.9047	180.94	0
260	16.2	0.8899	177.98	0
261	14.7	0.805	161.01	0
262	16.1	0.8795	175.9	0
263	13.0	0.7141	142.83	0
264	13.7	0.7475	149.51	0
265	16.3	0.8916	178.31	0
266	13.6	0.7432	148.63	0
267	14.8	0.81	161.99	0
268	12.7	0.695	138.99	0
269	15.5	0.8505	170.1	0
270	16.3	0.891	178.2	0
271	13.2	0.7207	144.14	0
272	13.0	0.7119	142.39	0
273	14.4	0.7913	158.27	0
274	12.9	0.7087	141.73	0
275	16.3	0.891	178.2	0
276	16.1	0.8839	176.78	0
277	12.5	0.684	136.8	0
278	13.1	0.7196	143.92	0
279	14.7	0.8028	160.57	0
280	13.6	0.7464	149.29	0
281	16.6	0.9113	182.26	0
282	14.8	0.8127	162.54	0
283	12.3	0.6758	135.16	0
284	14.1	0.7711	154.22	0
285	15.7	0.8614	172.29	0
286	17.1	0.9387	187.73	0
287	13.8	0.7568	151.37	0
288	12.6	0.6911	138.23	0
289	15.5	0.8494	169.88	0
290	14.6	0.8007	160.13	0
291	17.6	0.966	193.21	0
292	17.7	0.9693	193.87	0
293	13.0	0.7136	142.72	0
294	13.0	0.7108	142.17	0
295	15.9	0.8724	174.48	0
296	14.8	0.8094	161.88	0
297	17.8	0.9743	194.85	0
298	16.5	0.9031	180.61	0
299	13.1	0.718	143.59	0
300	16.4	0.8959	179.19	0
301	15.1	0.828	165.61	0
302	18.3	1.0	200.0	0
303	15.6	0.8543	170.87	0
304	13.6	0.7442	148.85	0
305	16.4	0.9009	180.18	0
306	15.0	0.8237	164.73	1
307	17.3	0.9485	189.7	0
308	17.9	0.9803	196.06	0
309	13.7	0.7503	150.05	0
310	13.4	0.7327	146.55	0
311	16.4	0.8981	179.63	0
312	14.9	0.8171	163.42	0
313	17.7	0.9715	194.3	0
314	17.2	0.9414	188.28	0
315	13.5	0.7382	147.65	0
316	16.4	0.9003	180.07	0
317	14.6	0.8018	160.35	0
318	14.6	0.8007	160.13	0
319	16.9	0.9283	185.65	0
320	13.2	0.7202	144.03	0
321	16.2	0.8877	177.55	0
322	16.4	0.9003	180.07	0
323	14.6	0.8001	160.02	0
324	16.6	0.9085	181.71	0
325	13.6	0.747	149.4	0
326	13.4	0.736	147.21	0
327	16.4	0.897	179.41	0
328	15.6	0.8543	170.87	0
329	14.1	0.7722	154.44	0
330	15.3	0.8384	167.69	0
331	12.9	0.7059	141.18	0
332	13.8	0.7547	150.93	0
333	16.0	0.8779	175.58	0
334	13.6	0.7464	149.29	0
335	14.6	0.8001	160.02	0
336	13.0	0.7114	142.28	0
337	15.4	0.8423	168.46	0
338	15.8	0.8658	173.17	0
339	13.3	0.7289	145.78	0
340	13.3	0.7284	145.67	0
341	14.3	0.7815	156.3	0
342	13.4	0.7317	146.33	0
343	16.1	0.8795	175.9	0
344	15.7	0.8604	172.07	0
345	13.2	0.7212	144.25	0
346	13.7	0.7525	150.49	0
347	14.3	0.7826	156.52	0
348	14.1	0.7705	154.11	0
349	16.1	0.879	175.79	0
350	14.4	0.7908	158.16	0
351	12.8	0.7021	140.42	0
352	14.2	0.7749	154.98	0
353	15.5	0.8494	169.88	0
354	16.1	0.8812	176.23	0
355	13.0	0.7108	142.17	0
356	12.6	0.6889	137.79	0
357	14.8	0.8105	162.1	0
358	14.4	0.7881	157.61	0
359	16.2	0.885	177.0	0
360	16.1	0.8795	175.9	0
361	12.4	0.6791	135.82	0
362	12.7	0.6977	139.54	0
363	15.0	0.8215	164.29	0
364	14.5	0.793	158.6	0
365	16.3	0.8938	178.75	0
366	14.9	0.8138	162.76	0
367	12.4	0.678	135.6	0
368	14.6	0.8007	160.13	0
369	15.6	0.8549	170.97	0
370	16.6	0.9069	181.38	0
371	13.4	0.7317	146.33	0
372	12.4	0.678	135.6	0
373	15.3	0.8373	167.47	0
374	14.4	0.787	157.39	0
375	16.4	0.8976	179.52	0
376	16.4	0.897	179.41	0
377	12.2	0.6681	133.63	0
378	12.3	0.6747	134.94	0
379	15.8	0.8647	172.95	0
380	15.3	0.8373	167.47	0
381	13.1	0.7152	143.04	0
382	12.4	0.6818	136.36	0
383	15.8	0.868	173.6	0
384	15.2	0.8324	166.48	0
385	12.5	0.6867	137.35	0
386	15.2	0.8319	166.37	0
387	12.6	0.6917	138.34	0
388	13.2	0.7245	144.91	0
389	15.9	0.8724	174.48	0
390	12.3	0.6742	134.83	0
391	15.2	0.8302	166.05	0
392	13.1	0.7185	143.7	0
393	15.6	0.8532	170.65	0
394	16.1	0.8817	176.34	0
395	12.3	0.6725	134.5	0
396	12.6	0.6917	138.34	0
397	15.2	0.8341	166.81	0
398	13.4	0.7355	147.1	0
399	16.2	0.8872	177.44	0
400	14.9	0.8182	163.64	0
401	12.2	0.6687	133.73	0
402	15.2	0.8297	165.94	0
403	13.6	0.7464	149.29	0
404	16.2	0.8872	177.44	0
405	13.4	0.7355	147.1	0
406	12.2	0.6676	133.52	0
407	15.2	0.8319	166.37	0
408	13.9	0.7629	152.57	0
409	16.3	0.891	178.2	0
410	16.4	0.8954	179.08	0
411	12.2	0.6692	133.84	0
412	12.3	0.6742	134.83	0
413	15.3	0.8357	167.14	0
414	14.2	0.7798	155.97	0
415	16.2	0.8877	177.55	0
416	14.9	0.8187	163.75	0
417	12.0	0.6566	131.33	0
418	14.2	0.776	155.2	0
419	15.0	0.8226	164.51	0
420	16.0	0.8751	175.03	0
421	13.2	0.7251	145.02	0
422	11.9	0.6495	129.9	0
423	14.9	0.8143	162.87	0
424	14.3	0.7831	156.63	0
425	15.7	0.8604	172.07	0
426	15.8	0.8636	172.73	0
427	11.7	0.6407	128.15	0
428	11.7	0.6386	127.71	0
429	14.8	0.81	161.99	0
430	14.4	0.7886	157.72	0
431	15.6	0.8543	170.87	0
432	14.8	0.8083	161.66	0
433	11.7	0.6396	127.93	0
434	13.2	0.724	144.8	0
435	14.9	0.8182	163.64	0
436	15.4	0.8439	168.78	0
437	13.3	0.7295	145.89	0
438	11.7	0.6407	128.15	0
439	14.5	0.7957	159.15	0
440	14.9	0.8154	163.09	0
441	14.2	0.7782	155.64	0
442	15.0	0.8209	164.18	0
443	11.9	0.6506	130.12	0
444	11.7	0.6396	127.93	0
445	15.1	0.8264	165.28	0
446	14.9	0.8171	163.42	0
447	13.9	0.7596	151.92	0
448	14.7	0.805	161.01	0
449	11.7	0.6391	127.82	0
450	12.7	0.6939	138.77	0
451	15.2	0.8319	166.37	0
452	13.3	0.7306	146.11	0
453	14.7	0.8045	160.9	0
454	11.9	0.6495	129.9	0
455	14.8	0.81	161.99	0
456	15.5	0.8488	169.77	0
457	13.0	0.7125	142.5	0
458	15.0	0.822	164.4	0
459	13.0	0.7103	142.06	0
460	12.4	0.6813	136.25	0
461	15.8	0.8675	173.49	0
462	15.5	0.8488	169.77	0
463	12.6	0.6889	137.79	0
464	14.9	0.816	163.2	0
465	12.5	0.6862	137.24	0
466	13.1	0.7174	143.48	0
467	15.8	0.8658	173.17	0
468	12.0	0.6572	131.43	0
469	14.9	0.8138	162.76	0
470	12.9	0.707	141.4	0
471	15.5	0.851	170.21	0
472	16.2	0.8861	177.22	0
473	12.2	0.6665	133.3	0
474	11.9	0.6528	130.56	0
475	14.9	0.8171	163.42	0
476	13.2	0.7229	144.58	0
477	16.4	0.9003	180.07	0
478	16.2	0.8872	177.44	0
479	12.0	0.6555	131.11	0
480	13.4	0.7317	146.33	0
481	14.9	0.8187	163.75	0
482	13.8	0.753	150.6	0
483	16.5	0.9036	180.72	0
484	11.6	0.6347	126.94	1
485	14.5	0.793	158.6	0
486	13.1	0.7196	143.92	0
487	15.4	0.8423	168.46	0
488	16.3	0.8927	178.53	0
489	12.2	0.6703	134.06	0
490	11.1	0.6101	122.02	0
491	14.7	0.8061	161.23	1
492	13.7	0.7475	149.51	1
493	16.4	0.9009	180.18	1
494	16.4	0.8998	179.96	0
495	11.4	0.6271	125.41	0
496	11.8	0.6435	128.7	0
497	15.0	0.8204	164.07	0
498	13.9	0.7601	152.03	0
499	16.4	0.8998	179.96	0
500	14.8	0.8116	162.32	0
501	11.6	0.6375	127.49	0
502	15.2	0.8297	165.94	0
503	14.1	0.7694	153.89	0
504	16.3	0.8927	178.53	0
505	13.4	0.7349	146.99	0
506	11.8	0.6484	129.68	0
507	15.3	0.8384	167.69	0
508	14.1	0.7738	154.76	0
509	15.8	0.8653	173.06	0
510	16.1	0.8801	176.01	0
511	12.2	0.6703	134.06	0
512	12.1	0.6643	132.86	0
513	15.7	0.8609	172.18	0
514	14.0	0.7662	153.23	0
515	15.7	0.8593	171.85	0
516	15.5	0.8472	169.44	0
517	12.4	0.6818	136.36	0
518	15.8	0.8675	173.49	0
519	13.9	0.7596	151.92	0
520	13.6	0.7437	148.74	0
521	15.3	0.8373	167.47	0
522	12.5	0.6829	136.58	0
523	15.7	0.8576	171.52	0
524	15.9	0.8735	174.7	0
525	13.2	0.724	144.8	0
526	15.1	0.8264	165.28	0
527	13.0	0.7136	142.72	0
528	12.8	0.7032	140.64	0
529	16.1	0.8812	176.23	0
530	15.3	0.8395	167.91	0
531	12.8	0.7026	140.53	0
532	15.0	0.8215	164.29	0
533	13.1	0.7152	143.04	0
534	16.1	0.8795	175.9	0
535	13.7	0.7475	149.51	0
536	12.4	0.6769	135.38	0
537	15.0	0.8204	164.07	0
538	13.5	0.7377	147.54	0
539	15.9	0.8729	174.59	0
540	16.3	0.8938	178.75	0
541	12.4	0.678	135.6	0
542	12.3	0.6725	134.5	0
543	14.8	0.8122	162.43	0
544	13.6	0.7432	148.63	0
545	16.3	0.8921	178.42	0
546	15.7	0.8576	171.52	0
547	12.2	0.6659	133.19	0
548	15.1	0.8248	164.95	0
549	13.9	0.7601	152.03	0
550	16.3	0.8932	178.64	0
551	13.8	0.7563	151.26	0
552	12.1	0.6627	132.53	0
553	14.9	0.8176	163.53	0
554	14.1	0.7738	154.76	0
555	16.1	0.879	175.79	0
556	16.3	0.8949	178.97	0
557	12.2	0.6698	133.95	0
558	12.0	0.6566	131.33	0
559	15.2	0.8297	165.94	0
560	14.4	0.7864	157.28	0
561	16.5	0.902	180.39	0
562	15.9	0.8686	173.71	0
563	12.1	0.6632	132.64	0
564	13.6	0.747	149.4	0
565	15.3	0.8368	167.36	0
566	16.6	0.9074	181.49	0
567	14.3	0.7837	156.74	0
568	12.3	0.6742	134.83	0
569	15.1	0.8269	165.39	0
570	14.6	0.7979	159.58	0
571	16.1	0.8801	176.01	0
572	16.4	0.8976	179.52	0
573	12.6	0.69	138.01	0
574	12.2	0.6654	133.08	0
575	15.2	0.8352	167.03	0
576	14.6	0.7979	159.58	0
577	16.2	0.8899	177.98	0
578	15.8	0.8669	173.38	0
579	12.0	0.6594	131.87	0
580	13.3	0.7295	145.89	0
581	15.3	0.8368	167.36	0
582	16.1	0.8795	175.9	0
583	14.1	0.7744	154.87	0
584	12.1	0.6599	131.98	0
585	15.0	0.8193	163.86	0
586	15.5	0.8478	169.55	0
587	14.6	0.7996	159.91	0
588	15.9	0.8691	173.82	0
589	12.7	0.6939	138.77	0
590	12.2	0.6687	133.73	0
591	15.5	0.8478	169.55	0
592	15.4	0.8412	168.24	0
593	14.2	0.7749	154.98	0
594	15.1	0.8253	165.06	0
595	11.9	0.6506	130.12	0
596	12.9	0.7043	140.85	0
597	15.5	0.8472	169.44	0
598	13.7	0.7486	149.73	0
599	14.8	0.8105	162.1	0
600	12.3	0.672	134.39	0
601	15.0	0.8193	163.86	0
602	15.7	0.8604	172.07	0
603	13.0	0.7103	142.06	0
604	14.6	0.799	159.8	0
605	12.9	0.7043	140.85	0
606	12.3	0.6763	135.27	0
607	15.4	0.8428	168.57	0
608	12.8	0.6982	139.65	0
609	15.1	0.8264	165.28	0
610	16.2	0.8855	177.11	0
611	12.7	0.6972	139.43	0
612	12.2	0.6687	133.73	0
613	14.8	0.8089	161.77	0
614	13.4	0.7366	147.32	0
615	16.8	0.9173	183.46	0
616	16.7	0.9168	183.35	0
617	12.5	0.6867	137.35	0
618	13.9	0.759	151.81	0
619	15.2	0.8324	166.48	0
620	14.6	0.8018	160.35	0
621	17.1	0.9392	187.84	0
622	12.6	0.69	138.01	0
623	15.2	0.8335	166.7	0
624	14.5	0.7957	159.15	0
625	16.6	0.9102	182.04	0
626	17.4	0.9551	191.02	0
627	13.5	0.7404	148.08	0
628	12.7	0.6944	138.88	0
629	15.6	0.8554	171.08	0
630	14.7	0.805	161.01	0
631	17.5	0.9578	191.57	0
632	17.5	0.9562	191.24	0
633	12.6	0.6922	138.44	0
634	13.0	0.7103	142.06	0
635	15.7	0.8604	172.07	0
636	14.6	0.7985	159.69	0
637	17.4	0.9518	190.36	0
638	15.6	0.8516	170.32	0
639	12.5	0.6851	137.02	0
640	14.6	0.7985	159.69	0
641	15.9	0.8697	173.93	0
642	17.3	0.9463	189.27	0
643	14.1	0.7711	154.22	0
644	12.6	0.6884	137.68	0
645	15.8	0.868	173.6	0
646	14.5	0.793	158.6	0
647	17.0	0.9304	186.09	0
648	17.0	0.9299	185.98	0
649	12.6	0.6884	137.68	0
650	13.2	0.7223	144.47	0
651	16.0	0.8762	175.25	0
652	14.3	0.7826	156.52	0
653	16.5	0.9042	180.83	0
654	12.5	0.6835	136.69	0
655	15.2	0.8313	166.27	0
656	16.0	0.8751	175.03	0
657	13.9	0.7607	152.14	0
658	15.9	0.8713	174.26	0
659	13.3	0.7273	145.45	0
660	12.3	0.6714	134.28	0
661	16.0	0.8746	174.92	0
662	15.9	0.8735	174.7	0
663	13.6	0.7437	148.74	0
664	15.4	0.8417	168.35	0
665	12.4	0.678	135.6	0
666	12.6	0.6895	137.9	0
667	16.1	0.8806	176.12	0
668	13.3	0.7306	146.11	0
669	15.0	0.8209	164.18	0
670	12.8	0.6999	139.98	0
671	15.0	0.8204	164.07	0
672	16.2	0.8894	177.88	0
673	13.5	0.7371	147.43	0
674	13.0	0.7119	142.39	0
675	14.8	0.8116	162.32	0
676	13.2	0.7229	144.58	0
677	16.3	0.8943	178.86	0
678	16.3	0.8949	178.97	0
679	12.8	0.7037	140.74	0
680	13.1	0.7191	143.81	0
681	15.0	0.8215	164.29	0
682	13.9	0.7596	151.92	0
683	16.6	0.9096	181.93	0
684	15.3	0.8357	167.14	0
685	12.8	0.6982	139.65	0
686	14.4	0.7881	157.61	0
687	15.4	0.8412	168.24	0
688	16.7	0.9162	183.24	0
689	13.9	0.7596	151.92	0
690	12.7	0.6972	139.43	0
691	15.3	0.8395	167.91	0
692	14.5	0.7952	159.04	0
693	16.6	0.9091	181.82	0
694	16.7	0.9151	183.02	0
695	12.5	0.6862	137.24	0
696	12.5	0.6846	136.91	0
697	15.2	0.8346	166.92	0
698	14.4	0.787	157.39	0
699	16.5	0.9031	180.61	0
700	15.4	0.8428	168.57	0
701	12.0	0.6583	131.65	0
702	14.0	0.7673	153.45	0
703	15.1	0.8275	165.5	0
704	16.5	0.9058	181.16	0
