# river=shasta scale_factor=763.0 threshold=42.123
frame	cfs	norm	scaled	high_variation
0	74.7	0.0979	19.58	0
1	81.7	0.1071	21.42	0
2	81.7	0.1071	21.42	0
3	110.0	0.1442	28.83	0
4	112.0	0.1468	29.36	0
5	103.0	0.135	27.0	0
6	114.0	0.1494	29.88	0
7	107.0	0.1402	28.05	0
8	107.0	0.1402	28.05	0
9	76.4	0.1001	20.03	0
10	79.9	0.1047	20.94	0
11	73.0	0.0957	19.13	0
12	81.7	0.1071	21.42	0
13	60.3	0.079	15.81	0
14	64.9	0.0851	17.01	0
15	54.5	0.0714	14.29	0
16	57.4	0.0752	15.05	0
17	47.8	0.0626	12.53	0
18	49.1	0.0644	12.87	0
19	71.4	0.0936	18.72	0
20	61.9	0.0811	16.23	0
21	46.6	0.0611	12.21	0
22	50.5	0.0662	13.24	0
23	44.1	0.0578	11.56	0
24	41.7	0.0547	10.93	0
25	57.5	0.0754	15.07	0
26	50.5	0.0662	13.24	0
27	40.6	0.0532	10.64	0
28	57.5	0.0754	15.07	0
29	47.9	0.0628	12.56	0
30	47.9	0.0628	12.56	0
31	54.7	0.0717	14.34	0
32	49.3	0.0646	12.92	0
33	56.2	0.0737	14.73	0
34	54.7	0.0717	14.34	0
35	59.1	0.0775	15.49	0
36	60.6	0.0794	15.88	0
37	54.8	0.0718	14.36	0
38	54.8	0.0718	14.36	0
39	59.1	0.0775	15.49	0
40	59.1	0.0775	15.49	0
41	52.1	0.0683	13.66	0
42	54.8	0.0718	14.36	0
43	45.6	0.0598	11.95	0
44	45.6	0.0598	11.95	0
45	54.9	0.072	14.39	0
46	49.5	0.0649	12.98	0
47	167.0	0.2189	43.77	0
48	78.7	0.1031	20.63	0
49	66.9	0.0877	17.54	0
50	67.0	0.0878	17.56	0
51	56.4	0.0739	14.78	0
52	57.8	0.0758	15.15	0
53	46.9	0.0615	12.29	0
54	52.2	0.0684	13.68	0
55	56.4	0.0739	14.78	0
56	52.3	0.0685	13.71	0
57	43.3	0.0567	11.35	0
58	48.3	0.0633	12.66	0
59	57.9	0.0759	15.18	0
60	53.7	0.0704	14.08	0
61	62.4	0.0818	16.36	0
62	62.4	0.0818	16.36	0
63	68.8	0.0902	18.03	0
64	75.4	0.0988	19.76	0
65	61.0	0.0799	15.99	0
66	67.2	0.0881	17.61	0
67	72.1	0.0945	18.9	0
68	70.5	0.0924	18.48	0
69	59.5	0.078	15.6	0
70	59.5	0.078	15.6	0
