# dataset=Water Council measured river temperatures consolidated and resampled to 720 values
# period=2025-07-01 through 2026-07-01 inclusive
# timestamps=720 evenly spaced timestamps on the inclusive annual timeline; Pacific local calendar time
# output_units=degrees Celsius (deg C) for every temperature column
# cottonwood=excluded at user request because no continuous 2025-2026 measured temperature record was found
# method=calendar-day means from measured observations; missing daily means linearly interpolated; completed daily series linearly interpolated to 720 timestamps
# quality_control=CDEC rows flagged N or outside -2 to 40 deg C were excluded; sub-daily dates required at least half of expected observations before daily averaging
# feather_headwater_mean=arithmetic mean of CDEC TM1 and TM2 after daily averaging and interpolation
# shasta_keswick_source=CDEC station KWK; Sacramento River at Keswick, 0.8 miles below Keswick Dam; water temperature
# shasta_keswick_native_units=DEG F; converted to deg C before output
# shasta_keswick_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=KWK
# shasta_keswick_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=KWK&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# shasta_keswick_source_observations=8757
# shasta_keswick_observed_days=366
# shasta_keswick_missing_source_days=0
# shasta_keswick_source_flags={'N': 1}
# mccloud_source=CDEC station MSS; McCloud River above Shasta Lake; water temperature
# mccloud_native_units=DEG F; converted to deg C before output
# mccloud_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=MSS
# mccloud_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=MSS&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# mccloud_source_observations=8754
# mccloud_observed_days=366
# mccloud_missing_source_days=0
# mccloud_source_flags={}
# pit_source=CDEC station PMN; Pit River near Montgomery Creek; water temperature
# pit_native_units=DEG F; converted to deg C before output
# pit_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=PMN
# pit_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=PMN&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# pit_source_observations=8676
# pit_observed_days=363
# pit_missing_source_days=3
# pit_source_flags={'N': 78}
# mill_source=USGS station 11381500; Mill Creek near Los Molinos; water temperature
# mill_native_units=deg C; no unit conversion
# mill_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11381500/
# mill_data_url=https://waterservices.usgs.gov/nwis/dv/?format=json&sites=11381500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# mill_source_observations=366
# mill_observed_days=366
# mill_missing_source_days=0
# mill_source_flags={'A': 155, 'P': 211}
# feather_tm1_source=CDEC station TM1; Thompson Meadow Site 1, East Branch North Fork Feather headwaters; water temperature
# feather_tm1_native_units=DEG F; converted to deg C before output
# feather_tm1_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM1
# feather_tm1_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM1&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm1_source_observations=8034
# feather_tm1_observed_days=349
# feather_tm1_missing_source_days=17
# feather_tm1_source_flags={}
# feather_tm2_source=CDEC station TM2; Thompson Meadow Site 2, East Branch North Fork Feather headwaters; water temperature
# feather_tm2_native_units=DEG F; converted to deg C before output
# feather_tm2_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM2
# feather_tm2_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM2&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm2_source_observations=8696
# feather_tm2_observed_days=364
# feather_tm2_missing_source_days=2
# feather_tm2_source_flags={}
# feather_release_source=CDEC station FTA; Feather River below Thermalito Afterbay; water temperature
# feather_release_native_units=DEG F; converted to deg C before output
# feather_release_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FTA
# feather_release_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=FTA&SensorNums=25&dur_code=E&Start=2025-07-01&End=2026-07-02
# feather_release_source_observations=34885
# feather_release_observed_days=366
# feather_release_missing_source_days=0
# feather_release_source_flags={}
# american_source=USGS station 11446500; American River at Fair Oaks; water temperature
# american_native_units=deg C; no unit conversion
# american_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11446500/
# american_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11446500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# american_source_observations=35074
# american_observed_days=366
# american_missing_source_days=0
# american_source_flags={'A': 14828, 'P': 20246}
# delta_freeport_source=USGS station 11447650; Sacramento River at Freeport, Right Bank Pump Stand; water temperature
# delta_freeport_native_units=deg C; no unit conversion
# delta_freeport_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11447650/
# delta_freeport_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11447650&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# delta_freeport_source_observations=35136
# delta_freeport_observed_days=366
# delta_freeport_missing_source_days=0
# delta_freeport_source_flags={'A': 15804, 'P': 19332}
# note=USGS values carrying qualifier P are provisional and subject to revision
frame,timestamp_pacific,shasta_keswick_release_temp_c,mccloud_above_shasta_lake_temp_c,pit_near_montgomery_creek_temp_c,mill_creek_temp_c,feather_headwater_tm1_temp_c,feather_headwater_tm2_temp_c,feather_headwater_mean_temp_c,feather_below_thermalito_temp_c,american_fair_oaks_temp_c,delta_freeport_temp_c
0,2025-07-01T00:00:00,10.350,16.843,18.606,22.400,15.264,13.090,14.177,19.652,16.795,22.488
1,2025-07-01T12:11:00,10.382,16.905,18.676,22.298,15.330,12.990,14.160,19.848,16.767,22.378
2,2025-07-02T00:22:01,10.413,16.969,18.743,22.200,15.391,12.891,14.141,20.026,16.737,22.264
3,2025-07-02T12:33:02,10.351,17.081,18.741,22.200,15.325,12.803,14.064,19.621,16.645,21.992
4,2025-07-03T00:44:03,10.290,17.176,18.741,22.169,15.236,12.683,13.960,19.220,16.557,21.722
5,2025-07-03T12:55:04,10.229,16.982,18.782,21.662,14.807,12.078,13.443,18.902,16.513,21.459
6,2025-07-04T01:06:05,10.179,16.780,18.825,21.150,14.374,11.484,12.929,18.553,16.485,21.196
7,2025-07-04T13:17:06,10.238,16.498,18.886,20.591,13.903,10.996,12.449,17.907,16.610,20.927
8,2025-07-05T01:28:07,10.288,16.240,18.939,20.100,13.482,10.594,12.038,17.327,16.738,20.686
9,2025-07-05T13:39:08,10.280,16.159,18.935,20.100,13.433,10.815,12.124,17.240,16.889,20.646
10,2025-07-06T01:50:09,10.271,16.128,18.926,20.169,13.478,11.078,12.278,17.183,17.028,20.604
11,2025-07-06T14:01:10,10.256,16.381,18.895,20.626,14.050,11.577,12.814,17.292,17.101,20.554
12,2025-07-07T02:12:11,10.247,16.600,18.861,21.018,14.540,11.981,13.261,17.389,17.169,20.494
13,2025-07-07T14:23:11,10.269,16.668,18.811,21.120,14.655,11.954,13.305,17.434,17.211,20.387
14,2025-07-08T02:34:12,10.297,16.688,18.777,21.157,14.710,11.848,13.279,17.552,17.272,20.293
15,2025-07-08T14:45:13,10.343,16.523,18.808,20.954,14.543,11.443,12.993,17.947,17.400,20.250
16,2025-07-09T02:56:14,10.373,16.418,18.836,20.849,14.404,11.200,12.802,18.260,17.530,20.247
17,2025-07-09T15:07:15,10.357,16.500,18.856,21.052,14.350,11.463,12.906,18.317,17.663,20.373
18,2025-07-10T03:18:16,10.347,16.624,18.877,21.338,14.390,11.781,13.086,18.361,17.803,20.540
19,2025-07-10T15:29:17,10.355,16.859,18.900,21.845,14.685,12.247,13.466,18.372,17.958,20.818
20,2025-07-11T03:40:18,10.371,17.091,18.958,22.368,15.018,12.725,13.872,18.269,17.859,21.083
21,2025-07-11T15:51:19,10.405,17.315,19.097,22.927,15.439,13.235,14.337,17.906,17.169,21.320
22,2025-07-12T04:02:20,10.449,17.539,19.176,23.367,15.862,13.694,14.778,17.606,16.575,21.448
23,2025-07-12T16:13:21,10.511,17.763,19.133,23.570,16.293,14.050,15.172,17.433,16.171,21.355
24,2025-07-13T04:24:22,10.560,17.924,19.078,23.755,16.680,14.349,15.515,17.401,15.916,21.251
25,2025-07-13T16:35:22,10.586,17.977,18.999,23.907,16.994,14.547,15.770,17.620,15.921,21.127
26,2025-07-14T04:46:23,10.605,17.984,18.920,23.861,17.045,14.310,15.678,17.710,15.952,21.009
27,2025-07-14T16:57:24,10.612,17.921,18.840,23.505,16.689,13.401,15.045,17.599,16.021,20.900
28,2025-07-15T05:08:25,10.619,17.827,18.779,23.193,16.379,12.827,14.603,17.612,16.134,20.784
29,2025-07-15T17:19:26,10.627,17.692,18.744,22.939,16.131,12.715,14.423,17.795,16.306,20.659
30,2025-07-16T05:30:27,10.645,17.529,18.703,22.708,15.936,12.559,14.247,18.046,16.369,20.558
31,2025-07-16T17:41:28,10.675,17.331,18.655,22.505,15.806,12.351,14.078,18.379,16.300,20.489
32,2025-07-17T05:52:29,10.712,17.175,18.717,22.351,15.690,12.116,13.903,18.570,16.318,20.455
33,2025-07-17T18:03:30,10.759,17.064,18.898,22.250,15.589,11.851,13.720,18.607,16.430,20.460
34,2025-07-18T06:14:31,10.788,17.021,18.996,22.200,15.499,11.765,13.632,18.547,16.520,20.526
35,2025-07-18T18:25:32,10.798,17.045,19.016,22.200,15.420,11.848,13.634,18.394,16.590,20.649
36,2025-07-19T06:36:33,10.813,17.100,19.083,22.228,15.325,11.816,13.571,18.177,16.655,20.740
37,2025-07-19T18:47:33,10.832,17.182,19.190,22.278,15.218,11.687,13.452,17.907,16.716,20.806
38,2025-07-20T06:58:34,10.849,17.238,19.299,22.038,14.989,11.767,13.378,17.594,16.757,20.783
39,2025-07-20T19:09:35,10.864,17.273,19.410,21.582,14.669,12.003,13.336,17.251,16.781,20.695
40,2025-07-21T07:20:36,10.889,17.184,19.498,21.216,14.437,12.016,13.227,17.186,16.754,20.595
41,2025-07-21T19:31:37,10.919,17.014,19.572,20.912,14.262,11.883,13.072,17.306,16.693,20.487
42,2025-07-22T07:42:38,10.936,16.713,19.657,20.800,14.314,11.751,13.032,17.518,16.716,20.347
43,2025-07-22T19:53:39,10.944,16.337,19.747,20.800,14.497,11.620,13.059,17.784,16.787,20.190
44,2025-07-23T08:04:40,10.954,16.331,19.736,20.834,14.590,11.946,13.268,17.799,16.903,20.082
45,2025-07-23T20:15:41,10.964,16.512,19.672,20.884,14.638,12.505,13.571,17.686,17.042,20.001
46,2025-07-24T08:26:42,11.015,16.808,19.678,20.970,14.423,12.536,13.479,17.760,17.116,20.040
47,2025-07-24T20:37:43,11.083,17.156,19.715,21.072,14.092,12.334,13.213,17.917,17.161,20.133
48,2025-07-25T08:48:44,11.129,17.319,19.751,21.063,13.960,12.143,13.052,17.916,16.838,20.218
49,2025-07-25T20:59:44,11.167,17.412,19.787,21.013,13.905,11.958,12.932,17.853,16.374,20.300
